D007765|A09.371.463	A10.336.422
D005123|A01.456.505.420	A09.371
D000290|A05.360.319.114
D000013|C16.131
D001763|C11.338.204
D003231|C11.187.183
D007634|C11.204.564
D004194|C23.550.288
D003228|A09.371.060.200	A09.371.337.168
D003228|A09.371.060.200	A09.371.337.168
D020397|A03.556.124.369.320	A04.329.597.320	A04.531.520.320	A04.760.259	A10.615.550.444.321	A10.615.550.760.520.320	A10.615.550.760.600.320	A11.436.298
D006984|C23.300.775
D004847|A11.436
D053358|C16.131.077.350.198	C16.131.831.350.198	C16.320.322.116	C16.320.850.250.198	C17.800.804.350.198	C17.800.827.250.198
D054969|C10.177.575
D005123|A01.456.505.420	A09.371
D000290|A05.360.319.114
D000013|C16.131
D020795|C10.597.751.941.661	C11.966.741	C23.888.592.763.941.661
