D056829|C14.907.079.500.750	C17.800.862.945.066.500.750	C20.543.480.904.066.500.750
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D004487|C23.888.277
D041981|A03.556
D044967|A12.207.152.846	A15.145.846
D000799|C14.907.079	C17.800.862.945.066	C20.543.480.904.066
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D007819|C08.360.313	C09.400.313
D004194|C23.550.288
D015746|C23.888.592.612.054	C23.888.821.030
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D015746|C23.888.592.612.054	C23.888.821.030
D009325|C23.888.821.712
D003967|C23.888.821.214
D014839|C23.888.821.937
D009960|A04.623.603	A14.724.603
D010146|C23.888.592.612
D044342|C18.654.521
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D004194|C23.550.288
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D004194|C23.550.288
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D008180|C17.300.480	C20.111.590
D005921|C12.777.419.570.363	C13.351.968.419.570.363
D004194|C23.550.288
D011085|C04.182.612.765	C13.351.500.056.630.580.765	C19.391.630.580.765
D011085|C04.182.612.765	C13.351.500.056.630.580.765	C19.391.630.580.765
D013577|C23.550.288.500
D010053|A05.360.319.114.630	A05.360.576.497	A06.300.312.497
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D007244|C02.256.466.313.400	C15.378.553.381	C15.604.515.516	C20.683.515.515
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D006987|C10.597.751.791.500	C23.888.592.763.770.500
D044967|A12.207.152.846	A15.145.846
D010525|A08.800.800
D014657|C14.907.940
D002196|A07.015.461.165
D009186|A08.637.600.500	A08.637.800.500	A08.675.542.512.560	A08.800.800.690.500	A10.755.503	A11.284.149.165.600	A11.650.600.500	A11.650.800.500	A11.671.501.512.560	A11.671.514.553
D044967|A12.207.152.846	A15.145.846
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D054179|C14.907.079.500	C16.320.078	C17.800.862.945.066.500	C20.543.480.904.066.500
D008232|C15.604.515	C20.683.515
D000799|C14.907.079	C17.800.862.945.066	C20.543.480.904.066
