D054092|C14.240.400.560.375.258	C14.280.400.560.375.258	C16.131.240.400.560.375.258
D006330|C14.240.400	C14.280.400	C16.131.240.400
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D008168|A04.411
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006325|A07.541.358
D000075224|C14.280.123
D000013|C16.131
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006330|C14.240.400	C14.280.400	C16.131.240.400
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D000783|C14.907.055
D054087|A07.541.459.249
D001145|C14.280.067	C23.550.073
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006330|C14.240.400	C14.280.400	C16.131.240.400
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006330|C14.240.400	C14.280.400	C16.131.240.400
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D000013|C16.131
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D000075224|C14.280.123
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D002875|A11.284.187	A11.284.430.106.279.345.190
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D000075224|C14.280.123
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006330|C14.240.400	C14.280.400	C16.131.240.400
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D002875|A11.284.187	A11.284.430.106.279.345.190
D004194|C23.550.288
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D001024|C14.280.484.150	C14.280.955.249
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006321|A07.541
D006325|A07.541.358
