D055213|A09.371.670.500	A09.371.729.887
D016570|A09.371.894.223.250	A10.272.220.250	A10.615.179.250
D016570|A09.371.894.223.250	A10.272.220.250	A10.615.179.250
D012160|A09.371.729
D001766|C10.597.751.941.162	C11.966.075	C23.888.592.763.941.162
D012162|C11.270.612	C11.768.585
D004194|C23.550.288
D004194|C23.550.288
D009362|C04.697.650	C23.550.727.650
D004487|C23.888.277
D015354|C10.597.751.941.905	C11.966.905	C23.888.592.763.941.848
D005123|A01.456.505.420	A09.371
D008268|C11.768.585.439
D008268|C11.768.585.439
D012607|C10.597.751.941.811	C11.966.811	C23.888.592.763.941.811
D016570|A09.371.894.223.250	A10.272.220.250	A10.615.179.250
D008268|C11.768.585.439
D008268|C11.768.585.439
D005123|A01.456.505.420	A09.371
D009362|C04.697.650	C23.550.727.650
