D020323|C10.597.350.700	C23.888.592.350.700
D005152|A02.633.567.400	A14.363
D009132|A02.633	A10.690
D005154|A08.800.050.050.275	A08.800.050.600.149	A08.800.800.060.275	A08.800.800.120.250
D013035|C10.597.613.750	C23.888.592.608.750
D002680|A01.456.505.259	A02.835.232.781.324.502.632.130	A14.521.632.300
D009132|A02.633	A10.690
D004194|C23.550.288
D015875|C10.597.690.150	C11.710.090	C23.888.592.708.150
D003221|C10.597.606.337	C23.888.592.604.339
D005154|A08.800.050.050.275	A08.800.050.600.149	A08.800.800.060.275	A08.800.800.120.250
D009120|C05.651.475	C10.597.613.500	C23.888.592.608.500
D005123|A01.456.505.420	A09.371
D015875|C10.597.690.150	C11.710.090	C23.888.592.708.150
