D013262|C07.465.864.500	C17.800.174.600.900	C17.800.229.400.683	C17.800.865.475.683	C20.543.206.380.900	C25.100.468.380.900
D013623|A13.895
D004194|C23.550.288
D017086|C15.378.071.141.150.875.150	C15.378.420.826.150	C16.320.070.875.150	C16.320.365.826.150
D017086|C15.378.071.141.150.875.150	C15.378.420.826.150	C16.320.070.875.150	C16.320.365.826.150
D000755|C15.378.071.141.150.150	C15.378.420.155	C16.320.070.150	C16.320.365.155
D002875|A11.284.187	A11.284.430.106.279.345.190
D017086|C15.378.071.141.150.875.150	C15.378.420.826.150	C16.320.070.875.150	C16.320.365.826.150
D000755|C15.378.071.141.150.150	C15.378.420.155	C16.320.070.150	C16.320.365.155
D000755|C15.378.071.141.150.150	C15.378.420.155	C16.320.070.150	C16.320.365.155
D000755|C15.378.071.141.150.150	C15.378.420.155	C16.320.070.150	C16.320.365.155
D000755|C15.378.071.141.150.150	C15.378.420.155	C16.320.070.150	C16.320.365.155
