D001733|C25.723.127	C26.176
D019339|C16.131.831.675	C17.800.804.675
D013575|C10.597.606.358.800.600	C23.888.592.604.359.800.600
D009333|A01.598
D019339|C16.131.831.675	C17.800.804.675
D005546|A01.456.505.580
D006391|C04.557.645.375
D019339|C16.131.831.675	C17.800.804.675
D005546|A01.456.505.580
D009333|A01.598
D019339|C16.131.831.675	C17.800.804.675
D018324|C04.557.645.375.380
D019339|C16.131.831.675	C17.800.804.675
D004727|A10.272.491
D020405|A17.815.180
D018324|C04.557.645.375.380
D009333|A01.598
