D047928|C13.703.420.491.500
D012445|A01.923.176.780
D013131|A02.835.232.834
D004838|A02.835.232.251
D056305|C05.116.511
D013131|A02.835.232.834
D004838|A02.835.232.251
D006132|A02.835.232.251.352
D010010|A11.329.372.700	A11.627.482.700
D001862|C05.116.264
D005333|A16.378
D001842|A02.835.232	A10.165.265
D010388|A01.923.600
D018483|A02.835.232.169
D002540|A08.186.211.200.885.287.500
D005355|C23.550.355
D010010|A11.329.372.700	A11.627.482.700
D010009|C05.116.099.708	C16.320.728
D004838|A02.835.232.251
D001851|C05.116.198	C18.452.104
D009081|C05.116.198.371	C10.228.140.163.100.435.590	C16.320.565.189.435.590	C16.320.565.202.670	C16.320.565.595.554.590	C18.452.132.100.435.590	C18.452.648.189.435.590	C18.452.648.202.670	C18.452.648.595.554.590
D009081|C05.116.198.371	C10.228.140.163.100.435.590	C16.320.565.189.435.590	C16.320.565.202.670	C16.320.565.595.554.590	C18.452.132.100.435.590	C18.452.648.189.435.590	C18.452.648.202.670	C18.452.648.595.554.590
D009081|C05.116.198.371	C10.228.140.163.100.435.590	C16.320.565.189.435.590	C16.320.565.202.670	C16.320.565.595.554.590	C18.452.132.100.435.590	C18.452.648.189.435.590	C18.452.648.202.670	C18.452.648.595.554.590
D009081|C05.116.198.371	C10.228.140.163.100.435.590	C16.320.565.189.435.590	C16.320.565.202.670	C16.320.565.595.554.590	C18.452.132.100.435.590	C18.452.648.189.435.590	C18.452.648.202.670	C18.452.648.595.554.590
D005347|A11.329.228
D009081|C05.116.198.371	C10.228.140.163.100.435.590	C16.320.565.189.435.590	C16.320.565.202.670	C16.320.565.595.554.590	C18.452.132.100.435.590	C18.452.648.189.435.590	C18.452.648.202.670	C18.452.648.595.554.590
D004194|C23.550.288
D013577|C23.550.288.500
D004194|C23.550.288
D012445|A01.923.176.780
D013131|A02.835.232.834
D013131|A02.835.232.834
D010010|A11.329.372.700	A11.627.482.700
