D014097|A14.549.167.860.715	C07.793.915
D005886|C07.465.714.258.428.260
D003318|C11.204.299
D003318|C11.204.299
D003315|A09.371.060.217
D000013|C16.131
D013577|C23.550.288.500
D008963|A14.549.167.860.525
D005885|C07.465.714.258.428.250
D016510|C11.204.290
D008382|C05.116.099.674	C14.240.400.725	C14.280.400.725	C16.131.077.550	C16.131.240.400.720	C16.320.540	C17.300.500
D003315|A09.371.060.217
D014071|C07.650.800	C07.793.700	C16.131.850.800
D005886|C07.465.714.258.428.260
D003318|C11.204.299
D005076|C17.800.257
