D030342|C16.320
D010264|C10.597.622.669	C23.888.592.636.637
D012598|C23.550.823
D005920|A05.810.453.324.359.620.500	A05.810.453.736.520.620.500
D005922|C12.777.419.570.363.608	C13.351.968.419.570.363.608	C20.111.525
D005922|C12.777.419.570.363.608	C13.351.968.419.570.363.608	C20.111.525
D050533|A05.810.453.324.359.372.400	A05.810.453.736.520.224	A10.615.179.625	A11.284.295.310.279
D009394|C12.706.742	C12.777.419.570.620	C13.351.875.742	C13.351.968.419.570.620	C16.131.939.742	C17.300.200.517
D010264|C10.597.622.669	C23.888.592.636.637
D004423|A01.456.313	A09.246
D012598|C23.550.823
D005920|A05.810.453.324.359.620.500	A05.810.453.736.520.620.500
D005922|C12.777.419.570.363.608	C13.351.968.419.570.363.608	C20.111.525
