D000844|C05.550.069
D009127|C05.651.504	C10.597.613.550.500	C23.888.592.608.550.500
D005384|A02.835.583.405.350
D005528|A01.378.610.250
D013933|A01.378.800.667.430.705
D006214|A01.378.610.250.300.792.380
D014034|A01.378.610.250.300.792
D009262|A17.600
D006132|A02.835.232.251.352
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D059327|C05.660.585.262	C16.131.621.585.262
D007596|A02.835.583
D009262|A17.600
