D002357|C05.182	C17.300.182
D002061|A02.835.583.156
D008679|C23.550.589
D003238|A10.165
D013583|A02.835.583.443.800
D002356|A02.165	A10.165.382
D007596|A02.835.583
D010146|C23.888.592.612
D004487|C23.888.277
D004194|C23.550.288
D015459|C04.557.337.428.580.100	C15.604.515.560.575.100	C20.683.515.528.582.100
D001184|C10.597.606.150.500.800.150	C23.888.592.604.150.500.800.150
D004392|C05.116.099.343	C16.320.240	C19.297
D004392|C05.116.099.343	C16.320.240	C19.297
D002358|A02.165.407.150	A02.835.583.192
D013583|A02.835.583.443.800
D002356|A02.165	A10.165.382
D018771|C05.550.091	C23.888.592.612.094
D004487|C23.888.277
D004392|C05.116.099.343	C16.320.240	C19.297
D007594|C05.550.535
