D014034|A01.378.610.250.300.792
D009468|C10.668
D003286|C05.550.323	C05.651.197
D004550|A01.378.800.420
D003025|C05.330.488.655.063	C05.330.495.681.063	C05.660.585.512.380.813.063	C16.131.621.585.512.500.681.063
D006617|C05.550.518.384	C26.289.384	C26.531.500
D005123|A01.456.505.420	A09.371
D007596|A02.835.583
D001847|C05.116
D002908|C23.550.291.500
D009468|C10.668
D003286|C05.550.323	C05.651.197
D000070633|A02.633.567.450	A10.690.552.500.250
D004194|C23.550.288
D007596|A02.835.583
D013710|A02.880
D004550|A01.378.800.420
D003286|C05.550.323	C05.651.197
D003286|C05.550.323	C05.651.197
