D019228|A14.549.167.900.710
D003817|A03.556.500.379	A14.549.167
D000567|C07.650.800.255.500	C07.793.700.255.500	C16.131.850.800.255.500
D007568|A02.835.232.781.324.502	A14.521
D001022|C14.280.484.095
D000567|C07.650.800.255.500	C07.793.700.255.500	C16.131.850.800.255.500
D003744|C07.650.800.255	C07.793.700.255	C16.131.850.800.255
D001022|C14.280.484.095
D001022|C14.280.484.095
D000567|C07.650.800.255.500	C07.793.700.255.500	C16.131.850.800.255.500
D024343|C07.793.494.825
D008310|C07.793.494
