D020294|C10.668.758.800	C16.320.590
D005317|C13.703.277.370	C16.300.390	C23.550.393.450
D001176|C05.550.150	C05.651.102	C05.660.077	C16.131.621.077
D000013|C16.131
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D003456|C12.294.829.258	C12.706.258	C16.131.939.258	C19.391.829.258
D013577|C23.550.288.500
D013577|C23.550.288.500
D000844|C05.550.069
D005333|A16.378
D000844|C05.550.069
D005333|A16.378
D001365|A01.378.800.090
D006321|A07.541
D011625|C11.187.781
D013577|C23.550.288.500
D003643|C23.550.260
D001176|C05.550.150	C05.651.102	C05.660.077	C16.131.621.077
D005145|A01.456.505
D009443|C10.668.829.650
D000870|A08.186.854.729.500	A08.675.655.500.050	A11.671.655.500.050
D013116|A08.186.854
D005333|A16.378
D005333|A16.378
D002540|A08.186.211.200.885.287.500
D000757|C10.500.680.196	C16.131.085.197	C16.131.666.680.196
D006831|C13.703.610
D000650|A10.615.284.277	A16.254.750.277
D000653|A12.098	A16.378.149
D058627|C05.660.207.536	C10.500.507.400.249	C16.131.621.207.532	C16.131.666.507.400.249
D000013|C16.131
D003286|C05.550.323	C05.651.197
D000013|C16.131
D005333|A16.378
D003643|C23.550.260
D050723|C26.404
D001842|A02.835.232	A10.165.265
D050723|C26.404
D005333|A16.378
D050497|C13.703.223.650	C23.550.260.585.630
D000013|C16.131
D005333|A16.378
D008844|C05.500.460.457	C05.660.207.540.460.457	C07.320.440.457	C07.650.500.460.457	C16.131.621.207.540.460.457	C16.131.850.500.460.457
D005385|A01.378.800.667.430
D005413|C05.330.488.655.250	C05.330.495.681.250	C05.660.585.512.380.813.250	C16.131.621.585.512.500.681.250
D005333|A16.378
D011625|C11.187.781
D005333|A16.378
D005333|A16.378
D003643|C23.550.260
D006831|C13.703.610
D006972|C05.116.099.370.231.480	C05.660.207.231.480	C16.131.621.207.231.480
D008844|C05.500.460.457	C05.660.207.540.460.457	C07.320.440.457	C07.650.500.460.457	C16.131.621.207.540.460.457	C16.131.850.500.460.457
D003456|C12.294.829.258	C12.706.258	C16.131.939.258	C19.391.829.258
D009045|A08.800.550.550.550.500	A08.850.550.550.500	A11.284.149.165.420.780.550.550.500
D005333|A16.378
D005333|A16.378
D003643|C23.550.260
D009133|C10.597.613.612	C23.300.070.500	C23.888.592.608.612
D006831|C13.703.610
D008844|C05.500.460.457	C05.660.207.540.460.457	C07.320.440.457	C07.650.500.460.457	C16.131.621.207.540.460.457	C16.131.850.500.460.457
D001284|C23.300.070
D000073842|C14.240.400.975	C14.280.400.975	C16.131.077.929	C16.131.240.400.968	C16.131.260.932	C16.320.180.932
D006831|C13.703.610
D000844|C05.550.069
D005413|C05.330.488.655.250	C05.330.495.681.250	C05.660.585.512.380.813.250	C16.131.621.585.512.500.681.250
D001145|C14.280.067	C23.550.073
D008844|C05.500.460.457	C05.660.207.540.460.457	C07.320.440.457	C07.650.500.460.457	C16.131.621.207.540.460.457	C16.131.850.500.460.457
D006554|C16.614.378	C23.300.707.374.937.500
D000073842|C14.240.400.975	C14.280.400.975	C16.131.077.929	C16.131.240.400.968	C16.131.260.932	C16.320.180.932
D002875|A11.284.187	A11.284.430.106.279.345.190
D006831|C13.703.610
D000844|C05.550.069
D013909|A01.923.761
D005333|A16.378
D005333|A16.378
D004628|A16
D009157|C10.114.656	C10.668.758.725	C20.111.258.500
