D000072662|A10.830	C23.149.625
D004198|C23.550.291.687
D008103|C06.552.630
D006527|C06.552.413	C10.228.140.079.493	C10.228.140.163.100.360	C10.228.662.400	C10.574.500.487	C16.320.400.361	C16.320.565.189.360	C16.320.565.618.403	C18.452.132.100.360	C18.452.648.189.360	C18.452.648.618.403
D006011|C16.320.565.202.449.540	C18.452.648.202.449.540
D005693|C10.228.140.163.100.320	C16.320.565.189.320	C16.320.565.202.355	C18.452.132.100.320	C18.452.648.189.320	C18.452.648.202.355
D006527|C06.552.413	C10.228.140.079.493	C10.228.140.163.100.360	C10.228.662.400	C10.574.500.487	C16.320.400.361	C16.320.565.189.360	C16.320.565.618.403	C18.452.132.100.360	C18.452.648.189.360	C18.452.648.618.403
D020176|C10.228.140.163.100.875	C16.320.565.100.880	C16.320.565.189.875	C18.452.132.100.875	C18.452.648.100.880	C18.452.648.189.875
D020176|C10.228.140.163.100.875	C16.320.565.100.880	C16.320.565.189.875	C18.452.132.100.875	C18.452.648.100.880	C18.452.648.189.875
D004194|C23.550.288
D003643|C23.550.260
D008103|C06.552.630
D053609|C10.597.606.441	C23.888.592.604.444
D007565|C23.550.429.500	C23.888.885.375
D005334|C23.888.119.344
D003643|C23.550.260
D008099|A03.620
D022781|A11.436.348
D059609|A11.284.420.500
D005355|C23.550.355
D003643|C23.550.260
D008103|C06.552.630
D018281|C04.557.470.200.025.450
D018281|C04.557.470.200.025.450
D018500|C12.777.419.135.500	C13.351.968.419.135.500
D005355|C23.550.355
D059609|A11.284.420.500
D022781|A11.436.348
D003643|C23.550.260
D005347|A11.329.228
D016464|C16.320.565.595	C18.452.648.595
D019896|C06.552.074	C08.381.112	C16.320.060	C23.550.325.500.500
D006521|C06.552.380.350
D008107|C06.552
D004194|C23.550.288
D006527|C06.552.413	C10.228.140.079.493	C10.228.140.163.100.360	C10.228.662.400	C10.574.500.487	C16.320.400.361	C16.320.565.189.360	C16.320.565.618.403	C18.452.132.100.360	C18.452.648.189.360	C18.452.648.618.403
D006527|C06.552.413	C10.228.140.079.493	C10.228.140.163.100.360	C10.228.662.400	C10.574.500.487	C16.320.400.361	C16.320.565.189.360	C16.320.565.618.403	C18.452.132.100.360	C18.452.648.189.360	C18.452.648.618.403
D001415|A01.923.176
D004194|C23.550.288
D006527|C06.552.413	C10.228.140.079.493	C10.228.140.163.100.360	C10.228.662.400	C10.574.500.487	C16.320.400.361	C16.320.565.189.360	C16.320.565.618.403	C18.452.132.100.360	C18.452.648.189.360	C18.452.648.618.403
D008103|C06.552.630
D008099|A03.620
D006976|C08.381.423
D006975|C06.552.494
D008168|A04.411
D004727|A10.272.491
D020065|C06.552.455	C08.381.385
D001769|A12.207.152	A15.145
D012298|C23.550.260.224.617.839
D003643|C23.550.260
D018281|C04.557.470.200.025.450
D012298|C23.550.260.224.617.839
D003643|C23.550.260
D003643|C23.550.260
D012298|C23.550.260.224.617.839
D018281|C04.557.470.200.025.450
D009132|A02.633	A10.690
D009127|C05.651.504	C10.597.613.550.500	C23.888.592.608.550.500
D008103|C06.552.630
D004932|C06.405.117.240	C06.552.494.414
D007565|C23.550.429.500	C23.888.885.375
D001808|A07.015
D053609|C10.597.606.441	C23.888.592.604.444
D005334|C23.888.119.344
D008099|A03.620
D022781|A11.436.348
D059609|A11.284.420.500
D005355|C23.550.355
