D014551|A05.810
D014552|C01.539.895	C12.777.892	C13.351.968.892
D002477|A11
D009127|C05.651.504	C10.597.613.550.500	C23.888.592.608.550.500
D014521|A05.360.444.492.726	A05.810.876
D014024|A10
D006972|C05.116.099.370.231.480	C05.660.207.231.480	C16.131.621.207.231.480
D066166|C05.116.099.739	C05.182.525	C05.660.745	C16.131.621.745	C17.300.182.525
D056844|C23.888.592.612.972	C23.888.721
D006417|C12.777.934.442	C13.351.968.934.442	C23.550.414.849
D015459|C04.557.337.428.580.100	C15.604.515.560.575.100	C20.683.515.528.582.100
D006225|A01.378.800.667
D005528|A01.378.610.250
D003643|C23.550.260
D005528|A01.378.610.250
