D058165|C05.660.207.103	C14.240.400.021	C14.280.400.044	C15.604.451.249	C16.131.077.019	C16.131.240.400.021	C16.131.260.019	C16.131.482.249	C16.131.621.207.103	C16.320.180.019	C19.642.482.500
D004062|C05.660.207.103.500	C14.240.400.021.500	C14.280.400.044.500	C15.604.451.249.500	C16.131.077.019.500	C16.131.240.400.021.500	C16.131.260.019.500	C16.131.482.249.500	C16.131.621.207.103.500	C16.320.180.019.500	C19.642.482.500.500
D004062|C05.660.207.103.500	C14.240.400.021.500	C14.280.400.044.500	C15.604.451.249.500	C16.131.077.019.500	C16.131.240.400.021.500	C16.131.260.019.500	C16.131.482.249.500	C16.131.621.207.103.500	C16.320.180.019.500	C19.642.482.500.500
D008659|C18.452
D009461|C10.597	C23.888.592
D004827|C10.228.140.490
D002875|A11.284.187	A11.284.430.106.279.345.190
D010949|A12.207.152.693	A12.207.270.695	A15.145.693
D014551|A05.810
D014551|A05.810
D007678|A05.810.453.324.359	A05.810.453.736.520
D003638|C09.218.458.341.186	C10.597.751.418.341.186	C23.888.592.763.393.341.186
D020195|C10.228.140.490.450
D009396|C04.557.435.595	C04.588.945.947.535.585	C04.700.900	C12.758.820.750.585	C12.777.419.473.585	C13.351.937.820.535.585	C13.351.968.419.473.585	C16.320.700.900
D010949|A12.207.152.693	A12.207.270.695	A15.145.693
D009394|C12.706.742	C12.777.419.570.620	C13.351.875.742	C13.351.968.419.570.620	C16.131.939.742	C17.300.200.517
D006319|C09.218.458.341.887	C10.597.751.418.341.887	C23.888.592.763.393.341.887
D007057|C16.131.831.512	C16.614.492	C17.800.428.333	C17.800.804.512
D020195|C10.228.140.490.450
D004827|C10.228.140.490
D014024|A10
D009422|C10
D004827|C10.228.140.490
D044967|A12.207.152.846	A15.145.846
D014556|A12.207.927
D002555|A12.207.270.210
D002872|C23.550.210.050.500.500
D012640|C10.597.742	C23.888.592.742
D004194|C23.550.288
D004827|C10.228.140.490
D002012|C07.793.099
D013226|C10.597.742.785	C23.888.592.742.785
D010949|A12.207.152.693	A12.207.270.695	A15.145.693
D014556|A12.207.927
D002872|C23.550.210.050.500.500
D009461|C10.597	C23.888.592
D009123|C10.597.613.575	C23.888.592.608.575
D012640|C10.597.742	C23.888.592.742
D009461|C10.597	C23.888.592
D004827|C10.228.140.490
D007805|C10.597.606.150.500.550	C23.888.592.604.150.500.550
D012640|C10.597.742	C23.888.592.742
D010949|A12.207.152.693	A12.207.270.695	A15.145.693
D009461|C10.597	C23.888.592
D010949|A12.207.152.693	A12.207.270.695	A15.145.693
D004062|C05.660.207.103.500	C14.240.400.021.500	C14.280.400.044.500	C15.604.451.249.500	C16.131.077.019.500	C16.131.240.400.021.500	C16.131.260.019.500	C16.131.482.249.500	C16.131.621.207.103.500	C16.320.180.019.500	C19.642.482.500.500
D004062|C05.660.207.103.500	C14.240.400.021.500	C14.280.400.044.500	C15.604.451.249.500	C16.131.077.019.500	C16.131.240.400.021.500	C16.131.260.019.500	C16.131.482.249.500	C16.131.621.207.103.500	C16.320.180.019.500	C19.642.482.500.500
D004062|C05.660.207.103.500	C14.240.400.021.500	C14.280.400.044.500	C15.604.451.249.500	C16.131.077.019.500	C16.131.240.400.021.500	C16.131.260.019.500	C16.131.482.249.500	C16.131.621.207.103.500	C16.320.180.019.500	C19.642.482.500.500
D009461|C10.597	C23.888.592
D009461|C10.597	C23.888.592
D012640|C10.597.742	C23.888.592.742
D012640|C10.597.742	C23.888.592.742
D009123|C10.597.613.575	C23.888.592.608.575
D012640|C10.597.742	C23.888.592.742
D020195|C10.228.140.490.450
D013226|C10.597.742.785	C23.888.592.742.785
D009461|C10.597	C23.888.592
