D006330|C14.240.400	C14.280.400	C16.131.240.400
D008526|A08.186.211.132.810.591.500
D005123|A01.456.505.420	A09.371
D008850|C11.250.566	C16.131.384.666
D002875|A11.284.187	A11.284.430.106.279.345.190
D008046|A01.456.505.631.515	A14.549.336
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D003248|C23.888.821.150
D006321|A07.541
D008046|A01.456.505.631.515	A14.549.336
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D004373|A07.541.278.395	A16.378.303.395
D008850|C11.250.566	C16.131.384.666
D054082|C10.500.507.450.499	C16.131.666.507.450.499
D065706|C10.500.507.500.500	C16.131.666.507.500.500
D003248|C23.888.821.150
D006314|C09.218.458.341.562	C10.597.751.418.341.562	C23.888.592.763.393.341.562
D000015|C16.131.077
D002971|C07.465.409.225	C07.465.525.164	C07.650.525.164	C16.131.850.525.164
D010159|A14.521.658	A14.549.617
D006345|C14.240.400.560.540	C14.280.400.560.540	C16.131.240.400.560.540
D001006|C06.198.050	C16.131.314.094
D003616|C10.228.140.252.300	C10.228.140.602.500	C10.500.205	C16.131.666.205
D006849|C10.228.140.602
D001997|C08.381.520.750.500	C16.614.521.125
D015459|C04.557.337.428.580.100	C15.604.515.560.575.100	C20.683.515.528.582.100
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D012886|A02.835.232.781
D009122|C10.597.613.550	C23.888.592.608.550
D000071056|C06.198.025	C16.131.314.047
D013577|C23.550.288.500
D010159|A14.521.658	A14.549.617
D000853|C11.250.080	C16.131.384.159
D012600|C05.116.900.800.875
D009333|A01.598
D004392|C05.116.099.343	C16.320.240	C19.297
D005317|C13.703.277.370	C16.300.390	C23.550.393.450
D003638|C09.218.458.341.186	C10.597.751.418.341.186	C23.888.592.763.393.341.186
D003103|C11.250.110	C11.270.147	C16.131.384.282
D007498|A09.371.060.450	A09.371.894.513
D012160|A09.371.729
D002386|C11.510.245
D008850|C11.250.566	C16.131.384.666
D002971|C07.465.409.225	C07.465.525.164	C07.650.525.164	C16.131.850.525.164
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006345|C14.240.400.560.540	C14.280.400.560.540	C16.131.240.400.560.540
D004373|A07.541.278.395	A16.378.303.395
D003248|C23.888.821.150
D000071056|C06.198.025	C16.131.314.047
D003456|C12.294.829.258	C12.706.258	C16.131.939.258	C19.391.829.258
D007668|A05.810.453
D012600|C05.116.900.800.875
D012640|C10.597.742	C23.888.592.742
D065706|C10.500.507.500.500	C16.131.666.507.500.500
D054082|C10.500.507.450.499	C16.131.666.507.450.499
