D001006|C06.198.050	C16.131.314.094
D010291|C10.597.636	C23.888.592.643
D009132|A02.633	A10.690
D009802|A08.800.050.050.650	A08.800.050.600.475	A08.800.800.060.650	A08.800.800.120.600
D009085|C16.320.565.202.715.655	C16.320.565.595.600.655	C17.300.550.575.655	C18.452.648.202.715.655	C18.452.648.595.600.655
D004392|C05.116.099.343	C16.320.240	C19.297
D013121|C05.116.900.800
D015354|C10.597.751.941.905	C11.966.905	C23.888.592.763.941.848
D035583|C23.550.291.906
D005121|A01.378
D005123|A01.456.505.420	A09.371
D013131|A02.835.232.834
