D009422|C10
D058627|C05.660.207.536	C10.500.507.400.249	C16.131.621.207.532	C16.131.666.507.400.249
D009128|C05.651.512	C10.597.613.550.550	C23.888.592.608.550.550
D001259|C10.597.350.090	C23.888.592.350.090
D012640|C10.597.742	C23.888.592.742
D003711|C10.314
D003711|C10.314
D056784|C10.228.140.695
D058627|C05.660.207.536	C10.500.507.400.249	C16.131.621.207.532	C16.131.666.507.400.249
D038261|C10.228.140.163.100.362.312	C10.228.140.695.625.312	C10.314.400.312	C10.574.500.024	C16.320.400.024	C16.320.565.189.362.312	C18.452.132.100.362.312	C18.452.648.189.362.312
D017825|C10.228.140.163.100.362.375	C10.228.140.695.625.375	C10.314.400.375	C10.574.500.300	C16.320.400.150	C16.320.565.189.362.375	C18.452.132.100.362.375	C18.452.648.189.362.375
D016537|C10.228.140.163.100.435.825.300.400	C16.320.565.189.435.825.300.400	C16.320.565.398.641.803.350.360	C16.320.565.595.554.825.300.400	C18.452.132.100.435.825.300.400	C18.452.584.687.803.350.360	C18.452.648.189.435.825.300.400	C18.452.648.398.641.803.350.360	C18.452.648.595.554.825.300.400
D038261|C10.228.140.163.100.362.312	C10.228.140.695.625.312	C10.314.400.312	C10.574.500.024	C16.320.400.024	C16.320.565.189.362.312	C18.452.132.100.362.312	C18.452.648.189.362.312
D017825|C10.228.140.163.100.362.375	C10.228.140.695.625.375	C10.314.400.375	C10.574.500.300	C16.320.400.150	C16.320.565.189.362.375	C18.452.132.100.362.375	C18.452.648.189.362.375
D017825|C10.228.140.163.100.362.375	C10.228.140.695.625.375	C10.314.400.375	C10.574.500.300	C16.320.400.150	C16.320.565.189.362.375	C18.452.132.100.362.375	C18.452.648.189.362.375
D016537|C10.228.140.163.100.435.825.300.400	C16.320.565.189.435.825.300.400	C16.320.565.398.641.803.350.360	C16.320.565.595.554.825.300.400	C18.452.132.100.435.825.300.400	C18.452.584.687.803.350.360	C18.452.648.189.435.825.300.400	C18.452.648.398.641.803.350.360	C18.452.648.595.554.825.300.400
D004194|C23.550.288
D004194|C23.550.288
D058627|C05.660.207.536	C10.500.507.400.249	C16.131.621.207.532	C16.131.666.507.400.249
D009128|C05.651.512	C10.597.613.550.550	C23.888.592.608.550.550
D001259|C10.597.350.090	C23.888.592.350.090
D012640|C10.597.742	C23.888.592.742
D003711|C10.314
D003711|C10.314
D056784|C10.228.140.695
