D002875|A11.284.187	A11.284.430.106.279.345.190
D000015|C16.131.077
D004194|C23.550.288
D011625|C11.187.781
D009333|A01.598
D004550|A01.378.800.420
D007717|A01.378.610.450
D001176|C05.550.150	C05.651.102	C05.660.077	C16.131.621.077
D005058|C19.391.482.293
D004550|A01.378.800.420
D007717|A01.378.610.450
D004194|C23.550.288
D001365|A01.378.800.090
D005385|A01.378.800.667.430
D003456|C12.294.829.258	C12.706.258	C16.131.939.258	C19.391.829.258
D001176|C05.550.150	C05.651.102	C05.660.077	C16.131.621.077
D004194|C23.550.288
D004392|C05.116.099.343	C16.320.240	C19.297
D001365|A01.378.800.090
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D012611|A05.360.444.661
D003456|C12.294.829.258	C12.706.258	C16.131.939.258	C19.391.829.258
D012600|C05.116.900.800.875
D005413|C05.330.488.655.250	C05.330.495.681.250	C05.660.585.512.380.813.250	C16.131.621.585.512.500.681.250
D005413|C05.330.488.655.250	C05.330.495.681.250	C05.660.585.512.380.813.250	C16.131.621.585.512.500.681.250
D001176|C05.550.150	C05.651.102	C05.660.077	C16.131.621.077
D005121|A01.378
D011625|C11.187.781
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D008168|A04.411
D001065|A03.556.124.526.209.290	A03.556.249.249.209.290
D044684|A03.556.124.526.356.834	A03.556.249.249.356.834
D007714|C05.116.099.370.535	C05.660.551	C16.131.621.551
D007714|C05.116.099.370.535	C05.660.551	C16.131.621.551
D004194|C23.550.288
D013577|C23.550.288.500
D003221|C10.597.606.337	C23.888.592.604.339
D009634|C05.660.207.690	C14.240.400.787	C14.280.400.787	C16.131.240.400.784	C16.131.621.207.690	C17.300.690
D011535|C16.131.077.745
D013577|C23.550.288.500
D000009|A02.633.567.050
D011535|C16.131.077.745
D004194|C23.550.288
D001365|A01.378.800.090
D003456|C12.294.829.258	C12.706.258	C16.131.939.258	C19.391.829.258
D000009|A02.633.567.050
D012131|C08.618.846
D006314|C09.218.458.341.562	C10.597.751.418.341.562	C23.888.592.763.393.341.562
D001022|C14.280.484.095
D014059|A03.556.500.885	A14.549.885
D014059|A03.556.500.885	A14.549.885
D003051|A09.246.300.246
D014059|A03.556.500.885	A14.549.885
D011625|C11.187.781
D011625|C11.187.781
D003286|C05.550.323	C05.651.197
D004392|C05.116.099.343	C16.320.240	C19.297
D005145|A01.456.505
D000015|C16.131.077
D013577|C23.550.288.500
D001176|C05.550.150	C05.651.102	C05.660.077	C16.131.621.077
D009333|A01.598
D014063|C07.465.910.708
D001176|C05.550.150	C05.651.102	C05.660.077	C16.131.621.077
D001763|C11.338.204
D005145|A01.456.505
D011625|C11.187.781
D008865|C07.465.525.520	C07.650.525.520	C16.131.850.525.520
D063173|C05.500.460.827	C05.660.207.540.460.827	C07.320.440.827	C07.320.610.827	C07.650.500.460.827	C16.131.621.207.540.460.827	C16.131.850.500.460.827
D009135|C05.651	C10.668.491
D004194|C23.550.288
D009055|A01.456.505.631	A03.556.500	A14.549
D012600|C05.116.900.800.875
D005660|C05.116.099.386	C05.660.386	C16.131.621.386
D002348|A02.835.232.087.319.150
D050279|A02.835.232.087.319.550
D001176|C05.550.150	C05.651.102	C05.660.077	C16.131.621.077
D005413|C05.330.488.655.250	C05.330.495.681.250	C05.660.585.512.380.813.250	C16.131.621.585.512.500.681.250
D003643|C23.550.260
D012141|C01.539.739	C08.730
D008865|C07.465.525.520	C07.650.525.520	C16.131.850.525.520
D008310|C07.793.494
D008844|C05.500.460.457	C05.660.207.540.460.457	C07.320.440.457	C07.650.500.460.457	C16.131.621.207.540.460.457	C16.131.850.500.460.457
