D004392|C05.116.099.343	C16.320.240	C19.297
D008173|C08.381.495
D006685|C08.360.940.490	C08.618.490	C09.400.940.490	C10.597.975.550	C23.888.592.979.550	C23.888.852.490
D001024|C14.280.484.150	C14.280.955.249
D006552|C23.300.707.374.875
D003643|C23.550.260
D000787|C14.280.647.187	C14.907.585.187	C23.888.592.612.233.500
D014827|A04.329.364.737
D001024|C14.280.484.150	C14.280.955.249
D015459|C04.557.337.428.580.100	C15.604.515.560.575.100	C20.683.515.528.582.100
D003643|C23.550.260
D005355|C23.550.355
D005355|C23.550.355
D008943|A07.541.510.507
D002815|A07.541.510.240
D003643|C23.550.260
D001024|C14.280.484.150	C14.280.955.249
D015459|C04.557.337.428.580.100	C15.604.515.560.575.100	C20.683.515.528.582.100
D015459|C04.557.337.428.580.100	C15.604.515.560.575.100	C20.683.515.528.582.100
D006552|C23.300.707.374.875
D014827|A04.329.364.737
D008946|C14.280.484.517
D013580|C05.116.099.370.894	C05.660.906	C16.131.621.906
D051224|A02.835.232.087.319.150.150
D051225|A02.835.232.087.319.150.400
D001020|C14.280.484.150.070	C14.280.955.249.070
D003318|C11.204.299
D021922|C14.280.484.150.070.210	C14.280.955.249.070.210
D018450|C23.550.291.656
D005901|C11.525.381
D013285|C10.292.562.887	C11.590.810
D003318|C11.204.299
D008850|C11.250.566	C16.131.384.666
D008865|C07.465.525.520	C07.650.525.520	C16.131.850.525.520
D008046|A01.456.505.631.515	A14.549.336
D003970|C07.650.800.320	C07.793.700.320	C16.131.850.800.320
D009333|A01.598
D005660|C05.116.099.386	C05.660.386	C16.131.621.386
