D018761|C04.588.322.400.500	C04.651.600.500	C04.700.630.500	C16.320.700.630.500	C19.344.400.500
D009369|C04
D007246|C12.294.365	C13.351.500.365
D002875|A11.284.187	A11.284.430.106.279.345.190
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D007713|C12.706.316.795.500	C13.351.875.253.795.500	C16.131.260.830.835.500	C16.131.939.316.795.500	C16.320.180.830.835.500	C19.391.119.795.500	C19.391.482.629
D006849|C10.228.140.602
D007713|C12.706.316.795.500	C13.351.875.253.795.500	C16.131.260.830.835.500	C16.131.939.316.795.500	C16.320.180.830.835.500	C19.391.119.795.500	C19.391.482.629
D007713|C12.706.316.795.500	C13.351.875.253.795.500	C16.131.260.830.835.500	C16.131.939.316.795.500	C16.320.180.830.835.500	C19.391.119.795.500	C19.391.482.629
D002843|A11.284.430.106.279.345.190.160.180
D002843|A11.284.430.106.279.345.190.160.180
D018239|C04.557.465.330.800
D018239|C04.557.465.330.800
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D009386|C04.700	C16.320.700
D009464|C04.557.465.625.650.595.610	C04.557.580.600.610.595.610	C04.557.580.625.650.595.610	C04.588.614.300.015	C04.588.614.596.240.015	C09.218.807.800.675	C09.647.675	C10.292.225.750	C10.292.910.600
D012175|C04.557.465.625.600.725	C04.557.470.670.725	C04.557.580.625.600.725	C04.588.364.818.760	C11.270.862	C11.319.475.760	C11.768.717.760
D010673|C04.557.465.625.650.700.725	C04.557.580.625.650.700.725
D009369|C04
D013724|C04.557.465.910
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D002278|C04.557.470.200.240
D013737|A05.360.444.849	A05.360.576.782	A06.300.312.782
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D002278|C04.557.470.200.240
D009369|C04
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D004198|C23.550.291.687
D002277|C04.557.470.200
D002278|C04.557.470.200.240
D009369|C04
D018239|C04.557.465.330.800
D009369|C04
D002278|C04.557.470.200.240
D002278|C04.557.470.200.240
D002277|C04.557.470.200
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D018239|C04.557.465.330.800
D009373|C04.557.465
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D009373|C04.557.465
D018239|C04.557.465.330.800
D003884|C04.182.201	C04.557.465.910.250
D012187|A01.923.047.025.750
D013724|C04.557.465.910
D013577|C23.550.288.500
D004407|C04.557.465.330.300
D013737|A05.360.444.849	A05.360.576.782	A06.300.312.782
D007596|A02.835.583
