D010900|C10.228.140.617.738	C19.700
D003426|A13.265
D006225|A01.378.800.667
D003426|A13.265
D013217|C18.654.521.750
D009369|C04
D009369|C04
D052436|A10.165.114.830
D010053|A05.360.319.114.630	A05.360.576.497	A06.300.312.497
D002875|A11.284.187	A11.284.430.106.279.345.190
D002889|A11.284.187.520.300.235.245
D002889|A11.284.187.520.300.235.245
D002894|A11.284.187.520.300.280.285
D002875|A11.284.187	A11.284.430.106.279.345.190
D002875|A11.284.187	A11.284.430.106.279.345.190
D011085|C04.182.612.765	C13.351.500.056.630.580.765	C19.391.630.580.765
