D002843|A11.284.430.106.279.345.190.160.180
D017085|C15.378.071.141.150.875.100	C15.378.420.826.100	C16.320.070.875.100	C16.320.365.826.100
D038901|C10.597.606.360.455	C16.320.322.500	C16.320.400.525
D017085|C15.378.071.141.150.875.100	C15.378.420.826.100	C16.320.070.875.100	C16.320.365.826.100
D002885|A11.284.187.520.300.415.420
D017085|C15.378.071.141.150.875.100	C15.378.420.826.100	C16.320.070.875.100	C16.320.365.826.100
D000013|C16.131
D038901|C10.597.606.360.455	C16.320.322.500	C16.320.400.525
D017085|C15.378.071.141.150.875.100	C15.378.420.826.100	C16.320.070.875.100	C16.320.365.826.100
D006098|A11.118.637.415	A11.148.350	A11.627.340	A15.145.229.637.415	A15.378.316.340	A15.382.490.315
D017085|C15.378.071.141.150.875.100	C15.378.420.826.100	C16.320.070.875.100	C16.320.365.826.100
D009707|A11.284.430.106.279.345.190.160.180.625
D006570|A11.284.430.106.279.345.190.160.180.383
D006570|A11.284.430.106.279.345.190.160.180.383
D006098|A11.118.637.415	A11.148.350	A11.627.340	A15.145.229.637.415	A15.378.316.340	A15.382.490.315
D001854|A11.148	A15.378.316
