D002607|C10.500.300.200	C10.574.500.495.200	C10.668.829.800.300.200	C16.131.666.300.200	C16.320.400.375.200
D004194|C23.550.288
D018476|C10.597.350.400	C23.888.592.350.400
D009461|C10.597	C23.888.592
D006319|C09.218.458.341.887	C10.597.751.418.341.887	C23.888.592.763.393.341.887
D004194|C23.550.288
D009123|C10.597.613.575	C23.888.592.608.575
D008661|C16.320.565	C18.452.648
D033461|C23.550.449
D006073|C05.550.114.423	C05.550.354.500	C05.799.414	C16.320.565.798.368	C18.452.648.798.368
D006319|C09.218.458.341.887	C10.597.751.418.341.887	C23.888.592.763.393.341.887
D004194|C23.550.288
D006073|C05.550.114.423	C05.550.354.500	C05.799.414	C16.320.565.798.368	C18.452.648.798.368
D033461|C23.550.449
D004912|A11.118.290	A11.443.240	A15.145.229.334
D005347|A11.329.228
D005347|A11.329.228
D033461|C23.550.449
D006319|C09.218.458.341.887	C10.597.751.418.341.887	C23.888.592.763.393.341.887
D006073|C05.550.114.423	C05.550.354.500	C05.799.414	C16.320.565.798.368	C18.452.648.798.368
D003638|C09.218.458.341.186	C10.597.751.418.341.186	C23.888.592.763.393.341.186
D005347|A11.329.228
D009123|C10.597.613.575	C23.888.592.608.575
D006316|C09.218.458.341.812	C10.597.751.418.341.812	C23.888.592.763.393.341.812
D004194|C23.550.288
D003643|C23.550.260
D033461|C23.550.449
D006319|C09.218.458.341.887	C10.597.751.418.341.887	C23.888.592.763.393.341.887
D004912|A11.118.290	A11.443.240	A15.145.229.334
D009421|C10.500	C16.131.666
D001259|C10.597.350.090	C23.888.592.350.090
D003638|C09.218.458.341.186	C10.597.751.418.341.186	C23.888.592.763.393.341.186
D033461|C23.550.449
D051437|C12.777.419.780	C13.351.968.419.780
D051437|C12.777.419.780	C13.351.968.419.780
D033461|C23.550.449
D007674|C12.777.419	C13.351.968.419
D004912|A11.118.290	A11.443.240	A15.145.229.334
D006319|C09.218.458.341.887	C10.597.751.418.341.887	C23.888.592.763.393.341.887
D006073|C05.550.114.423	C05.550.354.500	C05.799.414	C16.320.565.798.368	C18.452.648.798.368
D005347|A11.329.228
D033461|C23.550.449
D010916|C17.800.859.600.685
D009122|C10.597.613.550	C23.888.592.608.550
D033461|C23.550.449
D015210|C05.550.114.423.410	C05.550.354.500.500	C05.799.414.410	C16.320.565.798.368.410	C18.452.648.798.368.410
D016640|C13.703.170	C18.452.394.750.448	C19.246.200
D009123|C10.597.613.575	C23.888.592.608.575
D002524|C10.228.140.252.190	C10.597.350.090.500	C23.888.592.350.090.200
D002524|C10.228.140.252.190	C10.597.350.090.500	C23.888.592.350.090.200
D011115|C10.668.829.800
D012021|C10.597.704	C23.888.592.717
D001284|C23.300.070
D005145|A01.456.505
D008265|C07.465.525.480	C07.650.525.480	C16.131.850.525.480
D006956|C11.744.479
D010413|A05.360.444.492
D005347|A11.329.228
D010916|C17.800.859.600.685
D006073|C05.550.114.423	C05.550.354.500	C05.799.414	C16.320.565.798.368	C18.452.648.798.368
D009123|C10.597.613.575	C23.888.592.608.575
D012021|C10.597.704	C23.888.592.717
D009443|C10.668.829.650
D006319|C09.218.458.341.887	C10.597.751.418.341.887	C23.888.592.763.393.341.887
D001139|C10.500.680.291	C16.131.666.680.291
D003141|C01.539.221
D003643|C23.550.260
D011014|C08.381.677	C08.730.610
D010916|C17.800.859.600.685
D005347|A11.329.228
D008214|A11.118.637.555.567	A15.145.229.637.555.567	A15.382.490.555.567
D013234|A11.872
D014960|A11.284.187.865.982
D033461|C23.550.449
D006319|C09.218.458.341.887	C10.597.751.418.341.887	C23.888.592.763.393.341.887
D001259|C10.597.350.090	C23.888.592.350.090
D005347|A11.329.228
D010916|C17.800.859.600.685
D006319|C09.218.458.341.887	C10.597.751.418.341.887	C23.888.592.763.393.341.887
D006073|C05.550.114.423	C05.550.354.500	C05.799.414	C16.320.565.798.368	C18.452.648.798.368
D010916|C17.800.859.600.685
D005347|A11.329.228
D004912|A11.118.290	A11.443.240	A15.145.229.334
D033461|C23.550.449
D006073|C05.550.114.423	C05.550.354.500	C05.799.414	C16.320.565.798.368	C18.452.648.798.368
D005347|A11.329.228
D010916|C17.800.859.600.685
D010916|C17.800.859.600.685
D003593|A11.284.430.214
D002477|A11
D010916|C17.800.859.600.685
D006073|C05.550.114.423	C05.550.354.500	C05.799.414	C16.320.565.798.368	C18.452.648.798.368
D015210|C05.550.114.423.410	C05.550.354.500.500	C05.799.414.410	C16.320.565.798.368.410	C18.452.648.798.368.410
D009123|C10.597.613.575	C23.888.592.608.575
D001259|C10.597.350.090	C23.888.592.350.090
D033461|C23.550.449
D006073|C05.550.114.423	C05.550.354.500	C05.799.414	C16.320.565.798.368	C18.452.648.798.368
D006319|C09.218.458.341.887	C10.597.751.418.341.887	C23.888.592.763.393.341.887
