D007678|A05.810.453.324.359	A05.810.453.736.520
D015432|C12.777.419.570.363.615	C13.351.968.419.570.363.615	C20.425
D015432|C12.777.419.570.363.615	C13.351.968.419.570.363.615	C20.425
D002196|A07.015.461.165
D050527|A05.810.453.324.359.620	A05.810.453.736.520.620	A11.329.228.950
D001485|A10.272.220	A10.615.179
D001485|A10.272.220	A10.615.179
D001485|A10.272.220	A10.615.179
D035583|C23.550.291.906
D015432|C12.777.419.570.363.615	C13.351.968.419.570.363.615	C20.425
D015432|C12.777.419.570.363.615	C13.351.968.419.570.363.615	C20.425
D004198|C23.550.291.687
