D038901|C10.597.606.360.455	C16.320.322.500	C16.320.400.525
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D002875|A11.284.187	A11.284.430.106.279.345.190
D004194|C23.550.288
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D004392|C05.116.099.343	C16.320.240	C19.297
D018980|C10.597.606.360.970	C14.280.484.150.535.960	C16.131.260.970	C16.320.180.970
D018980|C10.597.606.360.970	C14.280.484.150.535.960	C16.131.260.970	C16.320.180.970
D015459|C04.557.337.428.580.100	C15.604.515.560.575.100	C20.683.515.528.582.100
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D007805|C10.597.606.150.500.550	C23.888.592.604.150.500.550
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D002875|A11.284.187	A11.284.430.106.279.345.190
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D002999|A11.251.353
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
