D005317|C13.703.277.370	C16.300.390	C23.550.393.450
D019080|C17.800.621.250	C23.888.885.250
D001249|C08.127.108	C08.381.495.108	C08.674.095	C20.543.480.680.095
D015459|C04.557.337.428.580.100	C15.604.515.560.575.100	C20.683.515.528.582.100
D019080|C17.800.621.250	C23.888.885.250
D015459|C04.557.337.428.580.100	C15.604.515.560.575.100	C20.683.515.528.582.100
D005076|C17.800.257
D015459|C04.557.337.428.580.100	C15.604.515.560.575.100	C20.683.515.528.582.100
D005076|C17.800.257
D015459|C04.557.337.428.580.100	C15.604.515.560.575.100	C20.683.515.528.582.100
D019080|C17.800.621.250	C23.888.885.250
D019080|C17.800.621.250	C23.888.885.250
D005121|A01.378
D005145|A01.456.505
D005145|A01.456.505
D019080|C17.800.621.250	C23.888.885.250
D005121|A01.378
