D008881|C10.228.140.546.399.750
D010291|C10.597.636	C23.888.592.643
D009207|C10.597.350.500	C23.888.592.350.500
D012640|C10.597.742	C23.888.592.742
D001259|C10.597.350.090	C23.888.592.350.090
D010523|C10.668.829
D009896|C10.292.700.225	C11.640.451
D044342|C18.654.521
D053609|C10.597.606.441	C23.888.592.604.444
D009123|C10.597.613.575	C23.888.592.608.575
D012021|C10.597.704	C23.888.592.717
D009133|C10.597.613.612	C23.300.070.500	C23.888.592.608.612
D008844|C05.500.460.457	C05.660.207.540.460.457	C07.320.440.457	C07.650.500.460.457	C16.131.621.207.540.460.457	C16.131.850.500.460.457
D003025|C05.330.488.655.063	C05.330.495.681.063	C05.660.585.512.380.813.063	C16.131.621.585.512.500.681.063
D018482|A02.633.567	A10.690.552.500
D001769|A12.207.152	A15.145
D001769|A12.207.152	A15.145
D001769|A12.207.152	A15.145
