D014471|A07.015.908.670.874	A16.378.693.807
D014682|A07.015.908.949.648
D005333|A16.378
D005234|C06.552.241
D006501|C06.552.308.500.356	C10.228.140.163.360	C18.452.132.360
D008107|C06.552
D005234|C06.552.241
D044342|C18.654.521
D001769|A12.207.152	A15.145
D011169|A07.015.908.670.567
D005234|C06.552.241
D022781|A11.436.348
D014474|C10.597.606.358.800	C23.888.592.604.359.800
D005334|C23.888.119.344
D022124|C23.550.421
D053608|C10.597.606.358.800.500	C23.888.592.604.359.800.500
D009325|C23.888.821.712
D044967|A12.207.152.846	A15.145.846
D008099|A03.620
D001769|A12.207.152	A15.145
D006501|C06.552.308.500.356	C10.228.140.163.360	C18.452.132.360
D005221|C23.888.369
D034141|C15.378.147.607.500
D006529|C06.552.416	C23.300.775.525
D008099|A03.620
D008104|C06.552.630.380	C06.552.645.590	C25.775.100.087.645.550
D001927|C10.228.140
D001808|A07.015
D020518|C06.552.270
D004195|C22.232
D014680|A07.015.908
D001927|C10.228.140
D008099|A03.620
D001808|A07.015
D005234|C06.552.241
D008099|A03.620
D014680|A07.015.908
D001808|A07.015
D005234|C06.552.241
D006501|C06.552.308.500.356	C10.228.140.163.360	C18.452.132.360
D022124|C23.550.421
D001769|A12.207.152	A15.145
