D013341|C04.557.645.375.850	C10.562.800	C14.907.077.850
D003318|C11.204.299
D000505|C17.800.329.937.122	C23.300.035
D012816|C23.888
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D001259|C10.597.350.090	C23.888.592.350.090
D003318|C11.204.299
D004392|C05.116.099.343	C16.320.240	C19.297
D004194|C23.550.288
D004194|C23.550.288
D003318|C11.204.299
D002531|A08.186.211.132.810.428.200
D013577|C23.550.288.500
D018450|C23.550.291.656
D004392|C05.116.099.343	C16.320.240	C19.297
D065814|A08.186.211.132.810.428.200.212.299
D002529|A08.186.211.132.810.428.200.337
D002526|C10.228.140.252
D005183|C23.888.338
D006849|C10.228.140.602
D006849|C10.228.140.602
D020233|C10.597.404	C23.888.592.413
D010264|C10.597.622.669	C23.888.592.636.637
D012640|C10.597.742	C23.888.592.742
D001921|A08.186.211
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D006972|C05.116.099.370.231.480	C05.660.207.231.480	C16.131.621.207.231.480
D006849|C10.228.140.602
D009123|C10.597.613.575	C23.888.592.608.575
D006849|C10.228.140.602
D000505|C17.800.329.937.122	C23.300.035
D009123|C10.597.613.575	C23.888.592.608.575
D001259|C10.597.350.090	C23.888.592.350.090
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D013285|C10.292.562.887	C11.590.810
D013577|C23.550.288.500
D000505|C17.800.329.937.122	C23.300.035
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D012021|C10.597.704	C23.888.592.717
D003318|C11.204.299
D008607|C10.597.606.360	C23.888.592.604.646
D006849|C10.228.140.602
D013285|C10.292.562.887	C11.590.810
D006972|C05.116.099.370.231.480	C05.660.207.231.480	C16.131.621.207.231.480
D009123|C10.597.613.575	C23.888.592.608.575
D004392|C05.116.099.343	C16.320.240	C19.297
D012816|C23.888
D019465|C05.660.207	C16.131.621.207
D000505|C17.800.329.937.122	C23.300.035
D001259|C10.597.350.090	C23.888.592.350.090
D009123|C10.597.613.575	C23.888.592.608.575
D004392|C05.116.099.343	C16.320.240	C19.297
D003318|C11.204.299
D013577|C23.550.288.500
D000505|C17.800.329.937.122	C23.300.035
D012816|C23.888
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D013285|C10.292.562.887	C11.590.810
D006972|C05.116.099.370.231.480	C05.660.207.231.480	C16.131.621.207.231.480
D059041|C05.660.207.707	C16.131.621.207.707
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D001259|C10.597.350.090	C23.888.592.350.090
D009123|C10.597.613.575	C23.888.592.608.575
D008607|C10.597.606.360	C23.888.592.604.646
D005333|A16.378
D005333|A16.378
D006972|C05.116.099.370.231.480	C05.660.207.231.480	C16.131.621.207.231.480
D000505|C17.800.329.937.122	C23.300.035
D004195|C22.232
D004392|C05.116.099.343	C16.320.240	C19.297
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D006972|C05.116.099.370.231.480	C05.660.207.231.480	C16.131.621.207.231.480
D013285|C10.292.562.887	C11.590.810
D012021|C10.597.704	C23.888.592.717
D003318|C11.204.299
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D001259|C10.597.350.090	C23.888.592.350.090
D009122|C10.597.613.550	C23.888.592.608.550
D012021|C10.597.704	C23.888.592.717
D012640|C10.597.742	C23.888.592.742
D009123|C10.597.613.575	C23.888.592.608.575
D065814|A08.186.211.132.810.428.200.212.299
D002529|A08.186.211.132.810.428.200.337
