D000273|A10.165.114
D008099|A03.620
D014024|A10
D002477|A11
D002477|A11
D008928|A11.284.430.214.190.875.564	A11.284.835.626
D008928|A11.284.430.214.190.875.564	A11.284.835.626
D017114|C06.552.308.500.750
D017093|C06.552.308.500
D017114|C06.552.308.500.750
D010033|C09.218.705.663
D017093|C06.552.308.500
D001927|C10.228.140
D005234|C06.552.241
D012816|C23.888
D004194|C23.550.288
D010949|A12.207.152.693	A12.207.270.695	A15.145.693
D014556|A12.207.927
D051336|A11.284.149.450.349	A11.284.835.514.349
D012816|C23.888
D005347|A11.329.228
D008566|A10.615
D002460|A11.251.210
D008928|A11.284.430.214.190.875.564	A11.284.835.626
D008566|A10.615
D004194|C23.550.288
D002462|A11.284.149
D007668|A05.810.453
D009132|A02.633	A10.690
D008099|A03.620
