D003920|C18.452.394.750	C19.246
D003924|C18.452.394.750.149	C19.246.300
D002890|A11.284.187.520.300.460.470
D002890|A11.284.187.520.300.460.470
D002875|A11.284.187	A11.284.430.106.279.345.190
D002875|A11.284.187	A11.284.430.106.279.345.190
D003924|C18.452.394.750.149	C19.246.300
D018244|A11.284.187.178.200	A11.284.187.360.800	A19.311.800
D002999|A11.251.353
D003924|C18.452.394.750.149	C19.246.300
D003924|C18.452.394.750.149	C19.246.300
D002875|A11.284.187	A11.284.430.106.279.345.190
D003924|C18.452.394.750.149	C19.246.300
D009765|C18.654.726.500	C23.888.144.699.500
