D008928|A11.284.430.214.190.875.564	A11.284.835.626
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D053609|C10.597.606.441	C23.888.592.604.444
D009123|C10.597.613.575	C23.888.592.608.575
D009207|C10.597.350.500	C23.888.592.350.500
D001049|C08.618.085	C23.888.852.130
D003643|C23.550.260
D008607|C10.597.606.360	C23.888.592.604.646
D012640|C10.597.742	C23.888.592.742
D003693|C10.597.606.337.500	C23.888.592.604.339.500
D002819|C10.228.662.262.249	C10.597.350.250	C23.888.592.350.250
D009896|C10.292.700.225	C11.640.451
D012640|C10.597.742	C23.888.592.742
D007662|C18.452.076.176.652
D007970|C15.378.553.546
D056693|C16.320.565.100.823	C18.452.648.100.823
D007662|C18.452.076.176.652
D007970|C15.378.553.546
D013921|C15.378.140.855
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D044967|A12.207.152.846	A15.145.846
D014556|A12.207.927
D003643|C23.550.260
D053609|C10.597.606.441	C23.888.592.604.444
D012021|C10.597.704	C23.888.592.717
D009207|C10.597.350.500	C23.888.592.350.500
D008099|A03.620
D001921|A08.186.211
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D053609|C10.597.606.441	C23.888.592.604.444
D009123|C10.597.613.575	C23.888.592.608.575
D001769|A12.207.152	A15.145
D002555|A12.207.270.210
D003643|C23.550.260
D053609|C10.597.606.441	C23.888.592.604.444
D003128|C10.597.606.358.800.200	C23.888.592.604.359.800.200
D001769|A12.207.152	A15.145
D003643|C23.550.260
D001921|A08.186.211
D008099|A03.620
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D061085|C10.500.034	C16.131.666.034	C23.300.008
D013116|A08.186.854
D015325|C10.228.140.163.100.750	C10.597.606.360.455.875	C16.320.322.500.875	C16.320.400.525.875	C16.320.565.189.750	C16.320.565.202.810.766	C18.452.132.100.750	C18.452.648.189.750	C18.452.648.202.810.766	C18.452.660.710
D044342|C18.654.521
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D006976|C08.381.423
D006976|C08.381.423
D003643|C23.550.260
D006976|C08.381.423
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D006976|C08.381.423
D008168|A04.411
D001602|C18.654.521.500.133.699.827.223
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D006849|C10.228.140.602
D001921|A08.186.211
D006849|C10.228.140.602
D006849|C10.228.140.602
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D003643|C23.550.260
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D008661|C16.320.565	C18.452.648
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D009421|C10.500	C16.131.666
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D001259|C10.597.350.090	C23.888.592.350.090
D012640|C10.597.742	C23.888.592.742
D009123|C10.597.613.575	C23.888.592.608.575
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020820|C10.228.662.262	C10.597.350	C23.888.592.350
D006225|A01.378.800.667
D014202|C10.597.350.850	C23.888.592.350.850
D012640|C10.597.742	C23.888.592.742
D013036|C10.228.140.490.375.760	C10.228.140.490.493.875
D013036|C10.228.140.490.375.760	C10.228.140.490.493.875
D009461|C10.597	C23.888.592
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D012640|C10.597.742	C23.888.592.742
D004827|C10.228.140.490
D012640|C10.597.742	C23.888.592.742
D003294|C10.597.742.571	C23.888.592.742.571
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D012640|C10.597.742	C23.888.592.742
D010949|A12.207.152.693	A12.207.270.695	A15.145.693
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D010949|A12.207.152.693	A12.207.270.695	A15.145.693
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D009461|C10.597	C23.888.592
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
D020158|C10.228.140.163.100.375	C16.320.565.100.477	C16.320.565.189.375	C18.452.132.100.375	C18.452.648.100.477	C18.452.648.189.375
