D015212|C06.405.205.731	C06.405.469.432
D003424|C06.405.205.731.500	C06.405.469.432.500
D003093|C06.405.205.265.231	C06.405.205.731.249	C06.405.469.158.188.231	C06.405.469.432.249
D003424|C06.405.205.731.500	C06.405.469.432.500
D004198|C23.550.291.687
D004198|C23.550.291.687
D003424|C06.405.205.731.500	C06.405.469.432.500
D003424|C06.405.205.731.500	C06.405.469.432.500
D003424|C06.405.205.731.500	C06.405.469.432.500
D003093|C06.405.205.265.231	C06.405.205.731.249	C06.405.469.158.188.231	C06.405.469.432.249
D003424|C06.405.205.731.500	C06.405.469.432.500
D003424|C06.405.205.731.500	C06.405.469.432.500
D002885|A11.284.187.520.300.415.420
D003424|C06.405.205.731.500	C06.405.469.432.500
D003424|C06.405.205.731.500	C06.405.469.432.500
D016615|A11.284.430.106.279.345.190.160.845
D002888|A11.284.187.520.300.460.465
D003424|C06.405.205.731.500	C06.405.469.432.500
D003424|C06.405.205.731.500	C06.405.469.432.500
D004198|C23.550.291.687
D004194|C23.550.288
