D017204|C10.228.662.075	C16.131.077.095	C16.131.260.040	C16.320.180.040
D011218|C10.597.606.360.690	C16.131.077.730	C16.131.260.700	C16.320.180.700	C18.654.726.500.740
D011218|C10.597.606.360.690	C16.131.077.730	C16.131.260.700	C16.320.180.700	C18.654.726.500.740
D001259|C10.597.350.090	C23.888.592.350.090
D012640|C10.597.742	C23.888.592.742
D001259|C10.597.350.090	C23.888.592.350.090
D012640|C10.597.742	C23.888.592.742
D011218|C10.597.606.360.690	C16.131.077.730	C16.131.260.700	C16.320.180.700	C18.654.726.500.740
D002875|A11.284.187	A11.284.430.106.279.345.190
D001259|C10.597.350.090	C23.888.592.350.090
D004827|C10.228.140.490
D058674|C23.550.210.182
D012640|C10.597.742	C23.888.592.742
D007446|C23.550.210.190
D002875|A11.284.187	A11.284.430.106.279.345.190
D002869|C23.550.210
D000013|C16.131
D009123|C10.597.613.575	C23.888.592.608.575
D012640|C10.597.742	C23.888.592.742
D053609|C10.597.606.441	C23.888.592.604.444
D000140|C18.452.076.176.180
D009132|A02.633	A10.690
D008928|A11.284.430.214.190.875.564	A11.284.835.626
D008928|A11.284.430.214.190.875.564	A11.284.835.626
D008928|A11.284.430.214.190.875.564	A11.284.835.626
D002893|A11.284.187.520.300.235.250
D012640|C10.597.742	C23.888.592.742
D008607|C10.597.606.360	C23.888.592.604.646
D009123|C10.597.613.575	C23.888.592.608.575
D001037|C10.597.606.150.500.800.100	C23.888.592.604.150.500.800.100
D015518|C10.597.606.360.455.937	C16.320.322.500.937	C16.320.400.525.937
D015518|C10.597.606.360.455.937	C16.320.322.500.937	C16.320.400.525.937
D012640|C10.597.742	C23.888.592.742
D012640|C10.597.742	C23.888.592.742
D013226|C10.597.742.785	C23.888.592.742.785
D006985|C08.618.501	C23.888.852.591
D001049|C08.618.085	C23.888.852.130
D008265|C07.465.525.480	C07.650.525.480	C16.131.850.525.480
D002999|A11.251.353
D016615|A11.284.430.106.279.345.190.160.845
D016615|A11.284.430.106.279.345.190.160.845
D058674|C23.550.210.182
D007805|C10.597.606.150.500.550	C23.888.592.604.150.500.550
D012640|C10.597.742	C23.888.592.742
D003294|C10.597.742.571	C23.888.592.742.571
D013262|C07.465.864.500	C17.800.174.600.900	C17.800.229.400.683	C17.800.865.475.683	C20.543.206.380.900	C25.100.468.380.900
D000013|C16.131
D007805|C10.597.606.150.500.550	C23.888.592.604.150.500.550
D009362|C04.697.650	C23.550.727.650
D004198|C23.550.291.687
D058674|C23.550.210.182
D001259|C10.597.350.090	C23.888.592.350.090
D012640|C10.597.742	C23.888.592.742
D002875|A11.284.187	A11.284.430.106.279.345.190
D006624|A08.186.211.180.405	A08.186.211.200.885.287.500.345
D000013|C16.131
D000013|C16.131
D002869|C23.550.210
D004198|C23.550.291.687
D002893|A11.284.187.520.300.235.250
D002869|C23.550.210
D002884|A11.284.187.520.300.370.385
D009422|C10
D002875|A11.284.187	A11.284.430.106.279.345.190
D004194|C23.550.288
D002894|A11.284.187.520.300.280.285
D058674|C23.550.210.182
D009765|C18.654.726.500	C23.888.144.699.500
D009123|C10.597.613.575	C23.888.592.608.575
D012640|C10.597.742	C23.888.592.742
D004198|C23.550.291.687
D008607|C10.597.606.360	C23.888.592.604.646
D000013|C16.131
D004194|C23.550.288
D013577|C23.550.288.500
D004194|C23.550.288
D004194|C23.550.288
D009362|C04.697.650	C23.550.727.650
D058674|C23.550.210.182
D014314|C23.550.210.050.750	C23.550.210.182.500
D004198|C23.550.291.687
D001132|A01.378.800.075
D004198|C23.550.291.687
D004198|C23.550.291.687
D044967|A12.207.152.846	A15.145.846
D014402|C04.445.810	C04.651.800	C04.700.700	C10.500.507.400.750	C10.562.850	C10.574.500.865	C16.131.666.507.400.750	C16.320.400.880	C16.320.700.700
D010661|C10.228.140.163.100.687	C16.320.565.100.766	C16.320.565.189.687	C18.452.132.100.687	C18.452.648.100.766	C18.452.648.189.687
D005600|C10.597.606.360.455.500	C16.131.260.830.300	C16.320.180.830.300	C16.320.322.500.500	C16.320.400.525.500
