D024741|C14.280.238.100.500	C14.280.484.150.070.160.500	C16.320.160
D002875|A11.284.187	A11.284.430.106.279.345.190
D002312|C14.280.238.100	C14.280.484.150.070.160
D002312|C14.280.238.100	C14.280.484.150.070.160
D006332|C14.280.195	C23.300.775.250
D006352|A07.541.560
D006352|A07.541.560
D014024|A10
D018482|A02.633.567	A10.690.552.500
D057645|A02.633.567.300
D009135|C05.651	C10.668.491
D008928|A11.284.430.214.190.875.564	A11.284.835.626
D008928|A11.284.430.214.190.875.564	A11.284.835.626
D008928|A11.284.430.214.190.875.564	A11.284.835.626
D006352|A07.541.560
D009202|C14.280.238
D003643|C23.550.260
D017379|C14.280.195.400	C23.300.775.250.400
D017379|C14.280.195.400	C23.300.775.250.400
D006984|C23.300.775
D002312|C14.280.238.100	C14.280.484.150.070.160
D004194|C23.550.288
D006984|C23.300.775
D006352|A07.541.560
D006352|A07.541.560
D002875|A11.284.187	A11.284.430.106.279.345.190
D002875|A11.284.187	A11.284.430.106.279.345.190
D002312|C14.280.238.100	C14.280.484.150.070.160
D006984|C23.300.775
D002312|C14.280.238.100	C14.280.484.150.070.160
D006984|C23.300.775
D017379|C14.280.195.400	C23.300.775.250.400
D006984|C23.300.775
D006984|C23.300.775
D006984|C23.300.775
D054088|A07.541.459.750
D054088|A07.541.459.750
D006984|C23.300.775
D017379|C14.280.195.400	C23.300.775.250.400
D014693|C14.280.067.922	C23.550.073.922
D006323|C14.280.383
D016757|C14.280.383.220	C23.550.260.322.250
D032342|A11.620
D006976|C08.381.423
D006333|C14.280.434
D004418|C08.618.326.396	C14.280.434.313	C23.888.852.371.396
D018657|A10.690.552.500.500.700	A11.620.249.700
