D001011|A07.015.114.056
D054092|C14.240.400.560.375.258	C14.280.400.560.375.258	C16.131.240.400.560.375.258
D004374|C14.240.400.340	C14.280.400.340	C16.131.240.400.340
D011651|A07.015.114.715
D001028|C14.240.400.560.098	C14.280.400.560.098	C16.131.240.400.560.098
D054092|C14.240.400.560.375.258	C14.280.400.560.375.258	C16.131.240.400.560.375.258
D006345|C14.240.400.560.540	C14.280.400.560.540	C16.131.240.400.560.540
D004374|C14.240.400.340	C14.280.400.340	C16.131.240.400.340
D004374|C14.240.400.340	C14.280.400.340	C16.131.240.400.340
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D001017|C14.240.400.090	C14.280.400.090	C16.131.240.400.090
D000013|C16.131
D007668|A05.810.453
D008168|A04.411
D054092|C14.240.400.560.375.258	C14.280.400.560.375.258	C16.131.240.400.560.375.258
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006345|C14.240.400.560.540	C14.280.400.560.540	C16.131.240.400.560.540
D004374|C14.240.400.340	C14.280.400.340	C16.131.240.400.340
D001017|C14.240.400.090	C14.280.400.090	C16.131.240.400.090
