D005123|A01.456.505.420	A09.371
D044342|C18.654.521
D002875|A11.284.187	A11.284.430.106.279.345.190
D004198|C23.550.291.687
D003141|C01.539.221
D016920|C01.252.200.500	C10.228.228.180.500	C10.228.614.280
D010033|C09.218.705.663
D008581|C10.228.614
D010033|C09.218.705.663
D008581|C10.228.614
D014657|C14.907.940
D044967|A12.207.152.846	A15.145.846
D044967|A12.207.152.846	A15.145.846
D012852|C08.460.692.752	C08.730.749	C09.603.692.752
D001996|C08.127.509	C08.381.677.127	C08.730.610.127
D056647|C14.907.940.897
D011693|C15.378.100.802	C23.550.414.950	C23.888.885.687
D009393|C12.777.419.570	C13.351.968.419.570
D044967|A12.207.152.846	A15.145.846
D004198|C23.550.291.687
D051436|C12.777.419.780.750	C13.351.968.419.780.750
D011507|C12.777.934.734	C13.351.968.934.734	C23.888.942.750
D006417|C12.777.934.442	C13.351.968.934.442	C23.550.414.849
D005922|C12.777.419.570.363.608	C13.351.968.419.570.363.608	C20.111.525
D005922|C12.777.419.570.363.608	C13.351.968.419.570.363.608	C20.111.525
D005921|C12.777.419.570.363	C13.351.968.419.570.363
D044967|A12.207.152.846	A15.145.846
D008180|C17.300.480	C20.111.590
D008180|C17.300.480	C20.111.590
D005921|C12.777.419.570.363	C13.351.968.419.570.363
D003141|C01.539.221
D018805|C01.539.757	C23.550.470.790.500
D000347|C15.378.100.100.056	C15.378.100.141.072	C15.378.463.067	C16.320.099.056
D044342|C18.654.521
D012874|C01.539.800	C17.800.838
D008581|C10.228.614
D003643|C23.550.260
D018805|C01.539.757	C23.550.470.790.500
D044967|A12.207.152.846	A15.145.846
D014069|C07.550.781.750	C08.730.561.750	C09.775.649.750
D011014|C08.381.677	C08.730.610
D014552|C01.539.895	C12.777.892	C13.351.968.892
D010031|C09.218.705
D008581|C10.228.614
D012213|C01.252.410.890.731	C05.550.114.843	C05.799.825
D044342|C18.654.521
D010586|A11.733	A15.382.680
D007105|C20.543.520
D003141|C01.539.221
D001327|C20.111
D005921|C12.777.419.570.363	C13.351.968.419.570.363
D005920|A05.810.453.324.359.620.500	A05.810.453.736.520.620.500
D005921|C12.777.419.570.363	C13.351.968.419.570.363
D005921|C12.777.419.570.363	C13.351.968.419.570.363
D004194|C23.550.288
D006463|C12.777.419.936.463	C13.351.968.419.936.463	C15.378.071.141.610	C15.378.140.855.925.500
D017540|A07.015.733
D012141|C01.539.739	C08.730
D001168|C05.550.114
D012874|C01.539.800	C17.800.838
D008581|C10.228.614
D044967|A12.207.152.846	A15.145.846
D003141|C01.539.221
D065766|C12.777.419.936.463.500	C13.351.968.419.936.463.500	C15.378.071.141.610.500	C15.378.140.855.925.500.500
