D013601|A11.118.637.555.567.569	A15.145.229.637.555.567.569	A15.382.490.555.567.569
D001402|A11.063.438	A11.118.637.555.567.562	A15.145.229.637.555.567.562	A15.382.032.438	A15.382.490.555.567.562
D007694|A11.118.637.555.567.537	A15.145.229.637.555.567.537	A15.382.490.555.567.537
D016511|C16.614.815	C18.452.284.800	C20.673.815
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D016511|C16.614.815	C18.452.284.800	C20.673.815
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D000013|C16.131
D000361|C15.378.147.142	C15.604.515.032	C20.673.088
D005347|A11.329.228
D004194|C23.550.288
D005347|A11.329.228
D005347|A11.329.228
D044342|C18.654.521
D016511|C16.614.815	C18.452.284.800	C20.673.815
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D016511|C16.614.815	C18.452.284.800	C20.673.815
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D005347|A11.329.228
D002460|A11.251.210
D016511|C16.614.815	C18.452.284.800	C20.673.815
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
