D010786|A08.675.650.850.625	A08.675.650.915.937	A08.800.950.937	A09.371.729.831.625	A11.671.650.850.625	A11.671.650.915.937
D002875|A11.284.187	A11.284.430.106.279.345.190
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D057130|C11.270.516	C11.768.364
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D057130|C11.270.516	C11.768.364
D006956|C11.744.479
D018450|C23.550.291.656
D001766|C10.597.751.941.162	C11.966.075	C23.888.592.763.941.162
D017948|A08.675.650.850.625.670.650	A08.675.650.915.937.670.650	A08.800.950.937.670.650	A09.371.729.831.625.670.650	A11.671.650.850.625.670.650	A11.671.650.915.937.670.650
D017949|A08.675.650.850.625.670.100	A08.675.650.915.937.670.100	A08.800.950.937.670.100	A09.371.729.831.625.670.100	A11.671.650.850.625.670.100	A11.671.650.915.937.670.100
D012160|A09.371.729
D012160|A09.371.729
D012160|A09.371.729
D012160|A09.371.729
D012160|A09.371.729
D009755|C11.966.671
D002875|A11.284.187	A11.284.430.106.279.345.190
D002875|A11.284.187	A11.284.430.106.279.345.190
D004194|C23.550.288
D006956|C11.744.479
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D058499|C11.768.585.658
D017948|A08.675.650.850.625.670.650	A08.675.650.915.937.670.650	A08.800.950.937.670.650	A09.371.729.831.625.670.650	A11.671.650.850.625.670.650	A11.671.650.915.937.670.650
D017949|A08.675.650.850.625.670.100	A08.675.650.915.937.670.100	A08.800.950.937.670.100	A09.371.729.831.625.670.100	A11.671.650.850.625.670.100	A11.671.650.915.937.670.100
D001766|C10.597.751.941.162	C11.966.075	C23.888.592.763.941.162
D014786|C10.597.751.941	C11.966	C23.888.592.763.941
D009755|C11.966.671
D010787|C17.800.600
D058499|C11.768.585.658
D017948|A08.675.650.850.625.670.650	A08.675.650.915.937.670.650	A08.800.950.937.670.650	A09.371.729.831.625.670.650	A11.671.650.850.625.670.650	A11.671.650.915.937.670.650
D017949|A08.675.650.850.625.670.100	A08.675.650.915.937.670.100	A08.800.950.937.670.100	A09.371.729.831.625.670.100	A11.671.650.850.625.670.100	A11.671.650.915.937.670.100
D001766|C10.597.751.941.162	C11.966.075	C23.888.592.763.941.162
D057130|C11.270.516	C11.768.364
D058499|C11.768.585.658
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
