D002319|A07
D002908|C23.550.291.500
D010949|A12.207.152.693	A12.207.270.695	A15.145.693
D002878|A11.284.187.520.300.235.240
D053358|C16.131.077.350.198	C16.131.831.350.198	C16.320.322.116	C16.320.850.250.198	C17.800.804.350.198	C17.800.827.250.198
D053358|C16.131.077.350.198	C16.131.831.350.198	C16.320.322.116	C16.320.850.250.198	C17.800.804.350.198	C17.800.827.250.198
D018761|C04.588.322.400.500	C04.651.600.500	C04.700.630.500	C16.320.700.630.500	C19.344.400.500
D002878|A11.284.187.520.300.235.240
D002875|A11.284.187	A11.284.430.106.279.345.190
D004194|C23.550.288
D003324|C14.280.647.250.260	C14.907.137.126.339	C14.907.585.250.260
D002880|A11.284.187.520.300.325.355
D018476|C10.597.350.400	C23.888.592.350.400
D002880|A11.284.187.520.300.325.355
D002477|A11
D006987|C10.597.751.791.500	C23.888.592.763.770.500
D002477|A11
