D012873|C16.320.850	C17.800.827
D000505|C17.800.329.937.122	C23.300.035
D020795|C10.597.751.941.661	C11.966.741	C23.888.592.763.941.661
D000505|C17.800.329.937.122	C23.300.035
D012535|A01.456.810
D000505|C17.800.329.937.122	C23.300.035
D035002|A01.378.610
D000505|C17.800.329.937.122	C23.300.035
D012535|A01.456.810
D020795|C10.597.751.941.661	C11.966.741	C23.888.592.763.941.661
D020795|C10.597.751.941.661	C11.966.741	C23.888.592.763.941.661
D000505|C17.800.329.937.122	C23.300.035
D004194|C23.550.288
D002610|A01.456.505.173	A14.194
D004890|C17.800.229	C23.888.885.328
D020795|C10.597.751.941.661	C11.966.741	C23.888.592.763.941.661
D001762|C11.338.133
D007634|C11.204.564
D003744|C07.650.800.255	C07.793.700.255	C16.131.850.800.255
D000505|C17.800.329.937.122	C23.300.035
D005499|C17.800.329.500
D005138|A01.456.505.420.338	A17.360.296
D012535|A01.456.810
D008214|A11.118.637.555.567	A15.145.229.637.555.567	A15.382.490.555.567
D009504|A11.118.637.415.583	A11.627.340.583	A11.733.689	A15.145.229.637.415.583	A15.382.490.315.583	A15.382.680.689
D002081|A01.378.610.100
D020795|C10.597.751.941.661	C11.966.741	C23.888.592.763.941.661
D001762|C11.338.133
D005140|A01.456.505.420.504.421	A09.371.337.338	A17.360.421
D005138|A01.456.505.420.338	A17.360.296
D009262|A17.600
D003744|C07.650.800.255	C07.793.700.255	C16.131.850.800.255
D020795|C10.597.751.941.661	C11.966.741	C23.888.592.763.941.661
D020795|C10.597.751.941.661	C11.966.741	C23.888.592.763.941.661
D001762|C11.338.133
D003231|C11.187.183
D007634|C11.204.564
D003731|C07.793.720.210
D003744|C07.650.800.255	C07.793.700.255	C16.131.850.800.255
D005499|C17.800.329.500
D005121|A01.378
D000505|C17.800.329.937.122	C23.300.035
D000505|C17.800.329.937.122	C23.300.035
