D005854|A05.360.490	A11.497
D002875|A11.284.187	A11.284.430.106.279.345.190
D001943|C04.588.180	C17.800.090.500
D004198|C23.550.291.687
D001943|C04.588.180	C17.800.090.500
D001940|A01.236
D001943|C04.588.180	C17.800.090.500
D001943|C04.588.180	C17.800.090.500
D001943|C04.588.180	C17.800.090.500
D018567|C04.588.180.260	C17.800.090.500.260
D009369|C04
D001943|C04.588.180	C17.800.090.500
D018270|C04.557.470.200.025.232.500	C04.557.470.615.132.500	C04.588.180.390	C17.800.090.500.390
D044584|C04.557.470.200.025.232	C04.557.470.615.132
D009369|C04
D001943|C04.588.180	C17.800.090.500
D001943|C04.588.180	C17.800.090.500
D001943|C04.588.180	C17.800.090.500
D018284|C04.557.470.200.025.480.240	C04.557.470.590.480.240
D018269|C04.557.470.200.025.240	C04.588.945.418.948.585.124	C13.351.500.056.630.705.331	C13.351.937.418.685.331	C13.351.937.418.875.200.124	C19.391.630.705.331
D001940|A01.236
D001943|C04.588.180	C17.800.090.500
D002477|A11
D004194|C23.550.288
D009369|C04
D001940|A01.236
D001943|C04.588.180	C17.800.090.500
D001940|A01.236
D001943|C04.588.180	C17.800.090.500
D001943|C04.588.180	C17.800.090.500
D001940|A01.236
D001943|C04.588.180	C17.800.090.500
D001943|C04.588.180	C17.800.090.500
D001943|C04.588.180	C17.800.090.500
D004194|C23.550.288
D001943|C04.588.180	C17.800.090.500
