D002889|A11.284.187.520.300.235.245
D000072661|C16.131.077.245	C16.320.184
D004677|C10.500.680.488	C16.131.666.680.488	C23.300.707.186
D017689|C05.660.585.600	C16.131.621.585.600
D007668|A05.810.453
D005333|A16.378
D004677|C10.500.680.488	C16.131.666.680.488	C23.300.707.186
D021782|C12.706.629	C12.777.419.403.750	C13.351.875.558	C13.351.968.419.403.750	C16.131.939.629
D001743|A05.810.890
D017689|C05.660.585.600	C16.131.621.585.600
D005333|A16.378
D052177|C12.777.419.403	C13.351.968.419.403
D000005|A01.923.047
D003964|A02.633.567.900.300
D004677|C10.500.680.488	C16.131.666.680.488	C23.300.707.186
D012734|C12.706.316	C13.351.875.253	C16.131.939.316	C19.391.119
D000072661|C16.131.077.245	C16.320.184
D005333|A16.378
D004677|C10.500.680.488	C16.131.666.680.488	C23.300.707.186
D021782|C12.706.629	C12.777.419.403.750	C13.351.875.558	C13.351.968.419.403.750	C16.131.939.629
D012734|C12.706.316	C13.351.875.253	C16.131.939.316	C19.391.119
D005333|A16.378
D002878|A11.284.187.520.300.235.240
D005333|A16.378
D000005|A01.923.047
D012734|C12.706.316	C13.351.875.253	C16.131.939.316	C19.391.119
D003025|C05.330.488.655.063	C05.330.495.681.063	C05.660.585.512.380.813.063	C16.131.621.585.512.500.681.063
D004677|C10.500.680.488	C16.131.666.680.488	C23.300.707.186
