D003424|C06.405.205.731.500	C06.405.469.432.500
D002875|A11.284.187	A11.284.430.106.279.345.190
D007410|C06.405.469
D002875|A11.284.187	A11.284.430.106.279.345.190
D007410|C06.405.469
D005076|C17.800.257
D004890|C17.800.229	C23.888.885.328
D003141|C01.539.221
D001762|C11.338.133
D003967|C23.888.821.214
D008286|C06.405.469.637	C18.452.603
D012871|C17.800
D006197|A17.360
D005140|A01.456.505.420.504.421	A09.371.337.338	A17.360.421
D005138|A01.456.505.420.338	A17.360.296
D009264|C23.300.820
D010304|C01.539.800.460	C17.800.529.639	C17.800.838.486
D011552|C01.252.400.739
D003643|C23.550.260
D009205|C14.280.238.625
D007410|C06.405.469
D013203|C01.252.410.868
D005138|A01.456.505.420.338	A17.360.296
D005140|A01.456.505.420.504.421	A09.371.337.338	A17.360.421
D001762|C11.338.133
D013203|C01.252.410.868
D003967|C23.888.821.214
D003967|C23.888.821.214
D008286|C06.405.469.637	C18.452.603
D004802|C15.378.553.231
D004890|C17.800.229	C23.888.885.328
D003873|C17.800.174.318	C17.800.815.318
D011565|C17.800.859.675
D004890|C17.800.229	C23.888.885.328
D001808|A07.015
D009262|A17.600
D010304|C01.539.800.460	C17.800.529.639	C17.800.838.486
D011552|C01.252.400.739
D006197|A17.360
D005138|A01.456.505.420.338	A17.360.296
D005140|A01.456.505.420.504.421	A09.371.337.338	A17.360.421
D007153|C20.673
D003967|C23.888.821.214
D012871|C17.800
