D003123|C04.588.274.476.411.307.190	C04.700.250	C06.301.371.411.307.190	C06.405.249.411.307.190	C06.405.469.158.356.190	C06.405.469.491.307.190	C16.320.700.250	C18.452.284.255
D002875|A11.284.187	A11.284.430.106.279.345.190
D005854|A05.360.490	A11.497
D009369|C04
D009369|C04
D003110|C04.588.274.476.411.307.180	C06.301.371.411.307.180	C06.405.249.411.307.180	C06.405.469.158.356.180	C06.405.469.491.307.180
D003643|C23.550.260
D015179|C04.588.274.476.411.307	C06.301.371.411.307	C06.405.249.411.307	C06.405.469.158.356	C06.405.469.491.307	C06.405.469.860.180
D012809|A03.556.124.526.356.668	A03.556.249.249.356.668
D003643|C23.550.260
D001943|C04.588.180	C17.800.090.500
D015179|C04.588.274.476.411.307	C06.301.371.411.307	C06.405.249.411.307	C06.405.469.158.356	C06.405.469.491.307	C06.405.469.860.180
D009369|C04
D015179|C04.588.274.476.411.307	C06.301.371.411.307	C06.405.249.411.307	C06.405.469.158.356	C06.405.469.491.307	C06.405.469.860.180
D016889|C04.588.945.418.948.585	C13.351.500.852.762.200	C13.351.937.418.875.200
D009369|C04
D015179|C04.588.274.476.411.307	C06.301.371.411.307	C06.405.249.411.307	C06.405.469.158.356	C06.405.469.491.307	C06.405.469.860.180
D015179|C04.588.274.476.411.307	C06.301.371.411.307	C06.405.249.411.307	C06.405.469.158.356	C06.405.469.491.307	C06.405.469.860.180
D009369|C04
D005854|A05.360.490	A11.497
