D019693|C06.552.380.350.300	C20.111.567
D044967|A12.207.152.846	A15.145.846
D008180|C17.300.480	C20.111.590
D003922|C18.452.394.750.124	C19.246.267	C20.111.327
D004198|C23.550.291.687
D016920|C01.252.200.500	C10.228.228.180.500	C10.228.614.280
D008180|C17.300.480	C20.111.590
D044342|C18.654.521
D007674|C12.777.419	C13.351.968.419
D011695|C14.907.940.777	C15.378.100.802.375	C15.378.463.515.580	C20.543.520.600	C23.550.414.950.375	C23.888.885.687.375
D007668|A05.810.453
D006973|C14.907.489
D009404|C12.777.419.630.643	C13.351.968.419.630.643
D044342|C18.654.521
D044967|A12.207.152.846	A15.145.846
D008180|C17.300.480	C20.111.590
D008180|C17.300.480	C20.111.590
D008180|C17.300.480	C20.111.590
D008180|C17.300.480	C20.111.590
D024182|C23.550.210.645.890
D002875|A11.284.187	A11.284.430.106.279.345.190
D008180|C17.300.480	C20.111.590
D008180|C17.300.480	C20.111.590
D008180|C17.300.480	C20.111.590
D008180|C17.300.480	C20.111.590
D004194|C23.550.288
D005921|C12.777.419.570.363	C13.351.968.419.570.363
D010787|C17.800.600
D008180|C17.300.480	C20.111.590
D003882|C05.651.594.819.500	C10.668.491.562.575.500	C17.300.250	C17.800.185
D011695|C14.907.940.777	C15.378.100.802.375	C15.378.463.515.580	C20.543.520.600	C23.550.414.950.375	C23.888.885.687.375
D014657|C14.907.940
D008180|C17.300.480	C20.111.590
