D004831|C10.228.140.490.375.130	C10.228.140.490.493.063
D000302|A06.300.071.140
D014202|C10.597.350.850	C23.888.592.350.850
D012640|C10.597.742	C23.888.592.742
D014202|C10.597.350.850	C23.888.592.350.850
D012640|C10.597.742	C23.888.592.742
D012640|C10.597.742	C23.888.592.742
D014202|C10.597.350.850	C23.888.592.350.850
D012640|C10.597.742	C23.888.592.742
D010787|C17.800.600
D000302|A06.300.071.140
D001415|A01.923.176
D002875|A11.284.187	A11.284.430.106.279.345.190
D020820|C10.228.662.262	C10.597.350	C23.888.592.350
D014202|C10.597.350.850	C23.888.592.350.850
D034941|A01.378.800
D012640|C10.597.742	C23.888.592.742
D000302|A06.300.071.140
D014202|C10.597.350.850	C23.888.592.350.850
D012640|C10.597.742	C23.888.592.742
