D001661|C04.588.274.120	C06.130.320	C06.301.120
D002277|C04.557.470.200
D001659|A03.159
D018281|C04.557.470.200.025.450
D001659|A03.159
D018281|C04.557.470.200.025.450
D018281|C04.557.470.200.025.450
D018281|C04.557.470.200.025.450
D015529|C04.182.198	C06.130.120.127	C06.198.184	C16.131.314.184
D015209|C06.130.120.200.110
D018281|C04.557.470.200.025.450
D002843|A11.284.430.106.279.345.190.160.180
D002277|C04.557.470.200
D018281|C04.557.470.200.025.450
D018281|C04.557.470.200.025.450
D003141|C01.539.221
D009369|C04
D018281|C04.557.470.200.025.450
D018281|C04.557.470.200.025.450
D002843|A11.284.430.106.279.345.190.160.180
D018281|C04.557.470.200.025.450
