D061085|C10.500.034	C16.131.666.034	C23.300.008
D002524|C10.228.140.252.190	C10.597.350.090.500	C23.888.592.350.090.200
D002875|A11.284.187	A11.284.430.106.279.345.190
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D006628|C17.800.329.750	C23.888.971.468
D013285|C10.292.562.887	C11.590.810
D002524|C10.228.140.252.190	C10.597.350.090.500	C23.888.592.350.090.200
D001259|C10.597.350.090	C23.888.592.350.090
D001921|A08.186.211
D004194|C23.550.288
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D013285|C10.292.562.887	C11.590.810
D006628|C17.800.329.750	C23.888.971.468
D002524|C10.228.140.252.190	C10.597.350.090.500	C23.888.592.350.090.200
