D013577|C23.550.288.500
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D004392|C05.116.099.343	C16.320.240	C19.297
D065817|C09.218.235	C16.131.287
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D065817|C09.218.235	C16.131.287
D005145|A01.456.505
D008865|C07.465.525.520	C07.650.525.520	C16.131.850.525.520
D005183|C23.888.338
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D001006|C06.198.050	C16.131.314.094
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D004392|C05.116.099.343	C16.320.240	C19.297
D005333|A16.378
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D004194|C23.550.288
D004392|C05.116.099.343	C16.320.240	C19.297
D013851|C23.888.144.828
D005183|C23.888.338
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D065817|C09.218.235	C16.131.287
D003638|C09.218.458.341.186	C10.597.751.418.341.186	C23.888.592.763.393.341.186
D005094|C11.675.349
D013285|C10.292.562.887	C11.590.810
D009216|C11.744.636
D002754|C08.460.171	C08.695.271	C09.603.171	C16.131.740.271
D008865|C07.465.525.520	C07.650.525.520	C16.131.850.525.520
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D006345|C14.240.400.560.540	C14.280.400.560.540	C16.131.240.400.560.540
D054537|C14.280.067.558.230	C14.280.123.500.230	C23.550.073.425.062
D001006|C06.198.050	C16.131.314.094
D000071056|C06.198.025	C16.131.314.047
D007021|C12.294.494.400	C12.706.516	C13.351.875.466	C16.131.939.516
D014525|C12.777.767.700.700	C13.351.968.767.700.700
D007245|A08.186.211.132.659.800.407
D014718|C12.777.829.920	C13.351.968.829.920
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D012600|C05.116.900.800.875
D007593|C05.550.521
D010005|C05.116.758	C05.550.684
D013576|C05.116.099.370.894.819	C05.660.585.800	C05.660.906.819	C16.131.621.585.800	C16.131.621.906.819
D013576|C05.116.099.370.894.819	C05.660.585.800	C05.660.906.819	C16.131.621.585.800	C16.131.621.906.819
D001139|C10.500.680.291	C16.131.666.680.291
