D000005	D060726
D000006	D015746
D000006	D015746
D000007	D014947
D000008	D009371
D000009	D018482
D000010	D003391
D000012	D006995
D000012	D006995
D000012	D006995
D000013	D009358
D000014	D000013
D000015	D000013
D000016	D000013
D000016	D011832
D000018	D013279
D000022	D011248
D000026	D000022
D000027	D000022
D000030	D000022
D000031	D011251
D000031	D000022
D000031	D011251
D000033	D011248
D000034	D000022
D000034	D000820
D000037	D007744
D000037	D010922
D000038	D013492
D000038	D013492
D000039	D000038
D000039	D014069
D000039	D014069
D000039	D014069
D000050	D004913
D000050	D004913
D000050	D004913
D000051	D012872
D000051	D010335
D000052	D008548
D000055	D003391
D000066449	D053595
D000066450	D053595
D000066473	D005854
D000066473	D053595
D000067011	D044342
D000067128	D005110
D000067170	D017154
D000067208	D005512
D000067251	D012008
D000067329	D009765
D000067329	D009765
D000067390	D014947
D000067398	D014947
D000067562	D020969
D000067617	D022081
D000067617	D000067170
D000067996	D002461
D000067996	D008264
D000068376	D005222
D000069076	D050723
D000069076	D009104
D000069236	D010496
D000069236	D010496
D000069236	D045604
D000069259	D005145
D000069259	D009333
D000069261	D022081
D000069261	D042783
D000069262	D051445
D000069262	D008023
D000069262	D008683
D000069262	D014033
D000069262	D008023
D000069262	D051445
D000069262	D008023
D000069279	D004827
D000069281	D000072659
D000069281	D000072659
D000069281	D001327
D000069282	D003607
D000069290	D006547
D000069290	D011183
D000069293	D016403
D000069293	D016403
D000069293	D016403
D000069295	D002277
D000069316	D000152
D000069316	D000152
D000069337	D014564
D000069337	D014564
D000069337	D014564
D000069343	D001842
D000069343	D001842
D000069396	D008928
D000069396	D012270
D000069451	D010335
D000069544	D004660
D000069544	D002494
D000069578	D003141
D000069584	D001943
D000069584	D001943
D000069590	D008022
D000069590	D008022
D000069592	D000069590
D000069592	D008099
D000069592	D000069590
D000069593	D008023
D000069593	D000069590
D000069593	D006621
D000069593	D008023
D000069593	D008023
D000069593	D000069590
D000069796	D000273
D000069797	D017667
D000069836	D017695
D000069856	D007669
D000069856	D007669
D000069856	D007669
D000069856	D007669
D000069856	D007669
D000069856	D007669
D000069856	D007669
D000070558	D005531
D000070558	D005532
D000070558	D005532
D000070558	D005532
D000070559	D000825
D000070589	D000070558
D000070589	D000070558
D000070589	D000070558
D000070589	D000070558
D000070591	D005530
D000070592	D005530
D000070597	D012540
D000070598	D007718
D000070599	D014947
D000070600	D007869
D000070602	D001842
D000070603	D001847
D000070604	D013580
D000070604	D005532
D000070604	D005532
D000070604	D013580
D000070604	D005532
D000070604	D013580
D000070606	D009141
D000070607	D037061
D000070607	D037061
D000070607	D009437
D000070607	D037061
D000070607	D009437
D000070614	D007403
D000070614	D007403
D000070614	D007403
D000070616	D007403
D000070616	D007403
D000070616	D007403
D000070617	D014947
D000070624	D000070642
D000070624	D000070642
D000070624	D000070642
D000070624	D003288
D000070625	D001930
D000070625	D001930
D000070625	D001930
D000070627	D000070642
D000070627	D020208
D000070627	D019636
D000070627	D000070642
D000070627	D020208
D000070627	D000070642
D000070627	D020208
D000070630	D004204
D000070630	D004204
D000070631	D004204
D000070631	D004204
D000070632	D013710
D000070633	D018482
D000070633	D018482
D000070636	D012421
D000070636	D000070599
D000070636	D013708
D000070637	D017885
D000070637	D017885
D000070637	D017885
D000070639	D052256
D000070639	D052256
D000070642	D001930
D000070642	D001930
D000070642	D001930
D000070656	D002805
D000070656	D000070657
D000070657	D007592
D000070676	D052256
D000070676	D052256
D000070779	D005870
D000070779	D013585
D000070779	D052256
D000070896	D012784
D000070896	D012784
D000070916	D003239
D000070918	D003239
D000071017	D002493
D000071036	D008198
D000071036	D008198
D000071037	D017966
D000071037	D017966
D000071038	D009474
D000071038	D009474
D000071039	D013702
D000071040	D001369
D000071040	D001369
D000071040	D001369
D000071040	D001369
D000071041	D004947
D000071041	D009092
D000071056	D004065
D000071056	D004065
D000071057	D004409
D000071057	D004409
D000071057	D004409
D000071064	D005222
D000071067	D011014
D000071067	D011014
D000071069	D002908
D000071070	D030342
D000071070	D008068
D000071070	D008068
D000071071	D000783
D000071072	D001927
D000071074	D018805
D000071074	D007232
D000071074	D018805
D000071075	D010523
D000071078	D014652
D000071079	D001157
D000071182	D010588
D000071243	D001102
D000071243	D018177
D000071257	D003693
D000071257	D011183
D000071257	D003693
D000071297	D015658
D000071297	D015658
D000071297	D015658
D000071298	D003643
D000071378	D005531
D000071380	D005350
D000071380	D005534
D000071380	D003286
D000071380	D003240
D000071380	D005534
D000071439	D012730
D000071477	D004628
D000071538	D001842
D000071556	D001842
D000071562	D050723
D000071576	D014947
D000071596	D000009
D000071697	D012877
D000071698	D003920
D000071698	D003920
D000071698	D001327
D000071699	D015837
D000071699	D009461
D000071699	D009461
D000071700	D015785
D000071700	D058499
D000071700	D015785
D000071896	D012816
D000071936	D001826
D000071956	D006335
D000071956	D003288
D000071960	D002278
D000071960	D001943
D000071960	D001943
D000071976	D018482
D000072039	D004204
D000072039	D004204
D000072039	D050723
D000072042	D000072039
D000072042	D000072039
D000072042	D000072039
D000072281	D008206
D000072283	D045744
D000072283	D045744
D000072283	D004847
D000072336	D016176
D000072336	D016176
D000072336	D016176
D000072336	D016176
D000072336	D016176
D000072336	D016176
D000072356	D014024
D000072600	D051445
D000072600	D051445
D000072637	D004847
D000072645	D005347
D000072656	D008209
D000072656	D011183
D000072657	D009203
D000072657	D009203
D000072658	D009203
D000072658	D009203
D000072659	D010900
D000072659	D010900
D000072660	D007248
D000072661	D000015
D000072661	D030342
D000072662	D014024
D000072662	D065308
D000072663	D020763
D000072676	D009057
D000072716	D010146
D000072717	D008221
D000072717	D008221
D000072717	D020763
D000072736	D064420
D000072737	D022423
D000072742	D009181
D000072836	D014947
D000072837	D002869
D000072916	D006412
D000072956	D053687
D000072977	D013234
D000073183	D053657
D000073183	D053657
D000073183	D053657
D000073296	D002908
D000073376	D004827
D000073397	D009784
D000073436	D020763
D000073496	D010335
D000073605	D012282
D000073605	D017282
D000073617	D055371
D000073617	D065227
D000073617	D065227
D000073618	D006566
D000073637	D009457
D000073637	D009457
D000073637	D058953
D000073818	D010146
D000073839	D008607
D000073839	D006330
D000073839	D006330
D000073839	D000015
D000073839	D006330
D000073839	D025063
D000073839	D025063
D000073842	D006330
D000073842	D006330
D000073842	D000015
D000073842	D006330
D000073842	D025063
D000073842	D025063
D000073872	D054079
D000073872	D001015
D000073872	D054079
D000073923	D012817
D000074009	D006607
D000074009	D006607
D000074021	D006327
D000074021	D006327
D000074021	D006327
D000074042	D002543
D000074042	D002543
D000074042	D002543
D000074079	D003240
D000074079	D001327
D000074084	D045744
D000074084	D045744
D000074270	D007415
D000074523	D013493
D000074523	D013493
D000074523	D009474
D000074523	D009474
D000074607	D009293
D000074723	D009385
D000074723	D009385
D000074742	D004065
D000074742	D054079
D000074742	D001157
D000074742	D054079
D000074924	D005512
D000074962	D017202
D000074962	D017202
D000074962	D006967
D000075067	D019966
D000075122	D011230
D000075122	D006942
D000075122	D010265
D000075122	D006942
D000075122	D010265
D000075222	D006973
D000075224	D006331
D000075262	D000224
D000075322	D011041
D000075342	D000825
D000075342	D034582
D000075363	D054219
D000075363	D000686
D000075363	D008232
D000075363	D010265
D000075529	D014564
D000075529	D014564
D000075529	D020763
D000075562	D006212
D000075562	D006212
D000075662	D005119
D000075662	D064420
D000075902	D018450
D000075942	D016176
D000075942	D016176
D000075942	D016176
D000075942	D016176
D000075942	D016176
D000075942	D016176
D000076042	D020915
D000076042	D000425
D000076042	D020915
D000076042	D000425
D000076042	D000425
D000076082	D012816
D000076203	D000825
D000076203	D006197
D000076263	D003141
D000076385	D059413
D000076385	D005759
D000076984	D020516
D000076984	D001720
D000076984	D001720
D000077	D010384
D000077162	D009423
D000077192	D000230
D000077192	D008175
D000077195	D002294
D000077195	D006258
D000077207	D002813
D000077207	D002813
D000077216	D002277
D000077216	D010051
D000077216	D010051
D000077216	D010051
D000077216	D010051
D000077216	D010051
D000077260	D012816
D000077273	D000231
D000077273	D013964
D000077273	D013964
D000077273	D013964
D000077273	D013964
D000077274	D002277
D000077274	D009303
D000077274	D009303
D000077274	D009303
D000077274	D009303
D000077274	D009303
D000077274	D009303
D000077275	D005357
D000077277	D002294
D000077277	D002294
D000077277	D004938
D000077277	D004938
D000077277	D004938
D000077277	D004938
D000077277	D004938
D000077295	D001745
D000077295	D001745
D000077295	D059411
D000077299	D003428
D000077299	D011014
D000077299	D011014
D000077299	D003428
D000077317	D018441
D000077342	D008193
D000077342	D008193
D000077342	D008193
D000077426	D001158
D000077428	D030342
D000077502	D002319
D000077502	D001921
D000077502	D008208
D000077684	D009408
D000077684	D011129
D000077733	D001327
D000077765	D015785
D000077765	D012164
D000077777	D009372
D000077777	D006393
D000077777	D009372
D000077779	D018299
D000077779	D010190
D000077779	D010190
D000077779	D010190
D000077779	D010190
D000077779	D010190
D000077962	D001836
D000078064	D015430
D000078404	D002477
D000078422	D064591
D000078422	D002477
D000078722	D045744
D000078722	D004847
D000125	D013710
D000126	D013272
D000126	D000137
D000130	D004392
D000130	D010009
D000130	D004392
D000137	D008659
D000138	D000137
D000140	D000138
D000141	D015499
D000141	D015499
D000141	D015499
D000141	D000138
D000141	D015499
D000142	D012131
D000142	D000138
D000151	D045828
D000152	D017486
D000152	D012625
D000153	D007627
D000153	D007627
D000153	D017486
D000153	D005499
D000159	D003391
D000160	D012181
D000160	D003389
D000163	D015658
D000163	D015658
D000163	D012897
D000163	D015658
D000168	D003398
D000168	D013576
D000168	D003398
D000168	D013576
D000168	D003398
D000168	D013576
D000168	D003398
D000168	D013576
D000168	D003398
D000168	D013576
D000169	D012868
D000169	D003872
D000169	D012868
D000170	D010523
D000170	D020262
D000170	D020262
D000172	D001849
D000172	D006964
D000172	D006964
D000173	D007596
D000174	D012540
D000177	D013077
D000177	D008247
D000177	D013077
D000182	D009384
D000187	D000189
D000187	D000820
D000189	D016871
D000193	D016908
D000196	D000193
D000197	D000196
D000197	D017192
D000197	D017192
D000197	D017192
D000208	D020969
D000210	D007249
D000219	D006327
D000219	D006327
D000219	D006327
D000224	D000309
D000224	D001327
D000230	D002277
D000231	D000230
D000232	D018225
D000232	D018225
D000234	D009305
D000234	D008221
D000234	D009305
D000234	D008221
D000235	D018193
D000236	D009375
D000237	D018358
D000237	D000236
D000237	D018358
D000238	D018358
D000238	D000236
D000238	D018358
D000239	D018358
D000239	D000236
D000239	D018358
D000257	D004266
D000258	D000257
D000267	D002921
D000270	D001342
D000270	D015840
D000270	D015840
D000270	D015845
D000273	D003238
D000274	D008068
D000274	D008068
D000290	D005836
D000291	D005831
D000292	D034161
D000292	D000291
D000302	D000311
D000303	D000307
D000306	D000310
D000306	D000303
D000306	D000310
D000306	D000310
D000307	D004700
D000308	D000307
D000309	D000307
D000310	D004701
D000310	D000307
D000310	D004701
D000311	D004702
D000312	D047808
D000312	D047808
D000312	D047808
D000312	D030342
D000312	D043202
D000312	D043202
D000312	D000307
D000312	D047808
D000313	D000311
D000314	D000236
D000320	D059331
D000320	D009412
D000320	D009412
D000326	D020739
D000326	D020279
D000326	D020279
D000326	D020279
D000326	D038901
D000326	D038901
D000326	D038901
D000326	D020739
D000326	D020279
D000326	D018901
D000326	D020739
D000326	D020279
D000326	D020739
D000326	D020279
D000326	D018901
D000326	D000309
D000334	D012817
D000343	D007415
D000343	D011183
D000344	D009434
D000347	D025861
D000347	D020147
D000347	D006474
D000347	D025861
D000355	D001102
D000355	D012088
D000355	D006734
D000357	D017282
D000357	D004266
D000357	D013553
D000361	D001796
D000361	D008232
D000361	D007153
D000370	D013651
D000370	D013651
D000377	D010468
D000377	D010468
D000380	D007970
D000381	D007806
D000381	D007806
D000382	D009784
D000386	D015658
D000386	D015658
D000386	D012897
D000386	D015658
D000387	D001862
D000400	D000825
D000402	D012131
D000405	D001927
D000417	D015785
D000417	D015785
D000417	D000592
D000417	D012873
D000417	D017496
D000417	D012873
D000417	D000592
D000419	D011507
D000419	D011507
D000419	D011507
D000425	D020268
D000425	D020268
D000425	D020268
D000430	D020268
D000430	D020268
D000430	D020268
D000430	D013375
D000435	D019973
D000437	D019973
D000453	D010322
D000453	D012897
D000453	D002609
D000453	D002609
D000453	D000820
D000471	D000137
D000472	D006985
D000472	D000471
D000474	D000592
D000474	D000592
D000482	D005321
D000482	D005321
D000505	D007039
D000505	D020763
D000506	D000505
D000507	D017520
D000507	D000505
D000507	D012625
D000532	D012120
D000539	D007568
D000539	D007568
D000539	D010519
D000542	D017563
D000542	D012130
D000542	D012130
D000544	D003704
D000544	D024801
D000550	D001927
D000550	D014786
D000550	D014786
D000550	D014786
D000562	D011528
D000564	D009808
D000565	D004847
D000567	D003744
D000567	D003744
D000567	D003744
D000568	D008599
D000592	D008661
D000592	D008661
D000608	D015499
D000608	D015499
D000608	D015499
D000608	D015499
D000647	D008569
D000647	D008569
D000648	D000647
D000648	D000647
D000650	D005321
D000650	D005321
D000652	D007232
D000653	D005441
D000653	D005333
D000672	D005121
D000673	D014947
D000679	D008032
D000679	D001479
D000686	D057165
D000690	D013118
D000690	D016472
D000690	D057177
D000690	D016472
D000690	D057177
D000694	D009371
D000694	D001005
D000694	D001005
D000694	D001005
D000694	D001005
D000694	D001005
D000694	D001005
D000694	D000820
D000695	D000825
D000699	D010523
D000699	D030342
D000707	D006969
D000708	D009385
D000708	D009385
D000711	D016905
D000712	D000711
D000712	D017282
D000712	D000820
D000724	D006725
D000740	D006402
D000741	D000740
D000741	D001855
D000742	D000745
D000742	D000745
D000743	D000740
D000744	D000743
D000744	D001327
D000745	D000743
D000745	D030342
D000746	D000745
D000746	D000745
D000747	D000740
D000748	D000740
D000749	D000748
D000750	D000740
D000750	D009196
D000751	D000740
D000751	D007232
D000752	D000749
D000752	D014806
D000753	D000740
D000753	D009190
D000754	D000753
D000754	D000753
D000755	D000745
D000755	D006453
D000755	D000745
D000755	D006453
D000756	D000740
D000756	D009190
D000757	D009436
D000757	D009008
D000757	D009436
D000782	D002869
D000783	D014652
D000784	D000783
D000785	D007239
D000785	D000783
D000787	D017202
D000787	D017202
D000787	D002637
D000788	D000789
D000788	D000789
D000788	D000789
D000789	D000787
D000789	D000787
D000789	D000787
D000793	D012164
D000794	D009383
D000795	D013106
D000795	D059345
D000795	D059345
D000795	D040181
D000795	D013106
D000795	D013106
D000795	D013106
D000795	D013106
D000795	D013106
D000795	D013106
D000795	D013106
D000795	D013106
D000796	D004802
D000796	D006099
D000796	D012871
D000798	D014652
D000799	D014652
D000799	D014581
D000799	D014581
D000839	D012030
D000842	D005528
D000843	D033023
D000844	D007592
D000848	D014071
D000848	D014071
D000848	D014071
D000849	D007806
D000849	D007806
D000853	D005124
D000853	D005124
D000855	D012817
D000857	D012678
D000857	D012678
D000858	D010049
D000858	D010049
D000860	D012818
D000867	D000869
D000868	D003161
D000868	D003161
D000869	D005123
D000870	D066151
D000870	D009046
D000870	D009046
D000874	D055008
D000874	D012829
D000874	D055008
D000874	D012829
D000874	D012829
D000881	D016863
D000921	D002477
D000921	D007107
D000938	D002477
D000938	D007107
D000961	D007106
D000999	D006733
D001002	D007674
D001002	D014555
D001002	D007674
D001002	D014555
D001003	D007420
D001003	D007420
D001004	D012002
D001005	D012004
D001005	D012004
D001005	D012004
D001005	D012004
D001005	D001004
D001005	D012004
D001006	D004065
D001006	D004065
D001011	D001158
D001012	D001011
D001013	D001011
D001014	D000783
D001014	D001018
D001015	D001018
D001016	D010234
D001016	D010234
D001016	D010234
D001017	D006330
D001017	D006330
D001017	D006330
D001018	D014652
D001019	D017542
D001019	D001014
D001019	D001014
D001019	D012421
D001020	D001024
D001020	D001024
D001021	D006351
D001022	D006349
D001023	D016127
D001024	D006349
D001024	D014694
D001025	D001018
D001025	D014657
D001028	D006343
D001028	D006343
D001028	D006343
D001035	D007905
D001036	D001035
D001037	D013064
D001037	D013064
D001039	D001037
D001039	D001037
D001041	D001037
D001041	D001037
D001044	D014832
D001044	D014832
D001044	D014832
D001044	D014832
D001049	D012120
D001049	D012818
D001050	D013545
D001050	D013545
D001063	D002430
D001063	D002430
D001063	D002430
D001063	D002430
D001063	D002430
D001064	D059413
D001064	D005759
D001064	D002429
D001065	D002432
D001065	D002432
D001072	D011596
D001072	D011596
D001078	D055098
D001079	D018358
D001079	D000236
D001079	D018358
D001082	D000867
D001082	D045604
D001098	D001733
D001098	D001733
D001099	D008578
D001100	D008581
D001102	D014777
D001111	D007033
D001111	D007033
D001112	D003318
D001117	D012327
D001129	D010859
D001129	D000075322
D001132	D034941
D001133	D001842
D001134	D014947
D001139	D009436
D001139	D009436
D001145	D006331
D001145	D010335
D001146	D001145
D001146	D001145
D001157	D014652
D001158	D001808
D001159	D016157
D001159	D016157
D001159	D054079
D001159	D016157
D001160	D001158
D001160	D055806
D001161	D001157
D001162	D001161
D001163	D055806
D001164	D001165
D001164	D016157
D001164	D001165
D001164	D016157
D001164	D001165
D001164	D016157
D001165	D054079
D001165	D014652
D001165	D054079
D001167	D014657
D001168	D007592
D001169	D001168
D001170	D007239
D001170	D001168
D001171	D001168
D001171	D012216
D001171	D012216
D001171	D001327
D001172	D001168
D001172	D012216
D001172	D012216
D001172	D001327
D001176	D007592
D001176	D009135
D001176	D009139
D001176	D009139
D001177	D007592
D001183	D007105
D001184	D013064
D001184	D013064
D001193	D007817
D001193	D007817
D001193	D007817
D001195	D011009
D001195	D011009
D001195	D011009
D001196	D017191
D001198	D017191
D001201	D010335
D001202	D001826
D001206	D001361
D001228	D009181
D001229	D055732
D001229	D055732
D001229	D012130
D001229	D008172
